GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,control.1.G,control.1.G.1,control.2.G,control.2.G.1,control.3.G,control.3.G.1,change
Mhrt,3,21,-2.807354922,-2.864683501,6.64E-05,0.000415934,0.000413598,TRUE,2,20,2,2,2,2,Down
Mia2,7,72,-3.362570079,-3.419898658,7.77E-16,7.80E-15,7.80E-15,TRUE,4,68,2,5,4,2,Down
Mia3,70,285,-2.025535092,-2.082863671,0,0,0,TRUE,2,284,2,2,69,2,Down
Mid1,3,227,-6.241585987,-6.298914566,0,0,0,TRUE,2,221,2,2,2,7,Down
Mief2,3,23,-2.938599455,-2.995928034,1.94E-05,0.000126307,0.00012553,TRUE,2,18,2,6,2,2,Down
Mier1,8,377,-5.558420713,-5.615749292,0,0,0,TRUE,2,376,7,2,2,2,Down
Mier3,3,2334,-9.603626345,-9.660954924,0,0,0,TRUE,2,445,2,1890,2,2,Down
Milr1,11,88,-3,-3.057328579,0,0,0,TRUE,2,2,2,2,10,87,Down
Mir1898,3,29,-3.273018494,-3.330347073,4.44E-07,3.21E-06,3.20E-06,TRUE,2,28,2,2,2,2,Down
Mir1931,213,942,-2.144873629,-2.202202208,0,0,0,TRUE,212,113,2,5,2,827,Down
Mir1970,3,72,-4.584962501,-4.64229108,0,0,0,TRUE,2,71,2,2,2,2,Down
Mir344c,3,25,-3.058893689,-3.116222268,5.56E-06,3.76E-05,3.74E-05,TRUE,2,12,2,14,2,2,Down
Mir3470b,6,987,-7.361943774,-7.419272353,0,0,0,TRUE,5,985,2,2,2,3,Down
Mir5622,3,35,-3.544320516,-3.601649095,9.33E-09,7.36E-08,7.34E-08,TRUE,2,34,2,2,2,2,Down
Mir6378,3,1536,-9,-9.057328579,0,0,0,TRUE,2,222,2,1315,2,2,Down
Mir670hg,3,39,-3.700439718,-3.757768297,6.87E-10,5.66E-09,5.65E-09,TRUE,2,38,2,2,2,2,Down
Mirg,3,30,-3.321928095,-3.379256674,2.34E-07,1.72E-06,1.72E-06,TRUE,2,2,2,2,2,29,Down
Mkks,3,41,-3.772589504,-3.829918083,1.85E-10,1.55E-09,1.55E-09,TRUE,2,2,2,2,2,40,Down
Mknk1,3,20,-2.736965594,-2.794294173,0.000122253,0.000751352,0.00074836,TRUE,2,19,2,2,2,2,Down
Mkrn1,3,24,-3,-3.057328579,1.04E-05,6.91E-05,6.88E-05,TRUE,2,11,2,14,2,2,Down
Mkrn2,56,841,-3.908607068,-3.965935647,0,0,0,TRUE,2,708,6,6,51,130,Down
Mlh1,3,20,-2.736965594,-2.794294173,0.000122253,0.000751352,0.00074836,TRUE,2,18,2,3,2,2,Down
