"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098798","GO:0098798","mitochondrial protein-containing complex","68/4489","305/28618",0.222950819672131,1.42134251668012,3.19087251315991,0.0014289332246489,0.00659907343746947,0.00377402459333107,"Afg3l2/Agk/Apool/Chchd10/Chchd3/Chchd6/Cox4i1/Cox5a/Cox6b1/Cox6c/Cox7a2/Cox7b/Dap3/Dlat/Etfb/Hadha/Hadhb/Idh3a/Idh3b/Immt/Lyrm4/Mcu/Mfn1/Micu2/Mrpl13/Mrpl14/Mrpl16/Mrpl18/Mrpl19/Mrpl23/Mrpl28/Mrpl30/Mrpl33/Mrpl40/Mrpl41/Mrpl42/Mrpl48/Mrpl50/Mrpl57/Mrps12/Mrps18a/Mrps22/Mrps30/Mrps36/Mrps6/Ndufa8/Ndufab1/Ndufb10/Ndufb6/Ndufb9/Ndufs2/Ndufs4/Ndufv2/Ndufv3/Nsun3/Pdhb/Phb2/Pnpt1/Slc25a31/Slc25a5/Timm10/Timm21/Tomm20/Tomm40l/Tomm5/Uqcc3/Uqcrc1/Uqcrfs1",68
"GO:0015935","GO:0015935","small ribosomal subunit","24/4489","83/28618",0.289156626506024,1.84341375302949,3.31900555280785,0.00163613973250226,0.00751047274799228,0.0042952558608493,"Dap3/Eif2d/Larp4/Mrpl42/Mrps12/Mrps18a/Mrps22/Mrps6/Npm1/Rack1/Rps13/Rps14/Rps15/Rps15a/Rps23/Rps26/Rps27/Rps27rt/Rps3a1/Rps6/Rps7/Rps9/Uba52/Ubb",24
"GO:0031254","GO:0031254","cell trailing edge","7/4489","13/28618",0.538461538461538,3.43276727727608,3.78415100485379,0.00165918472485001,0.00752558785914111,0.00430390022611468,"Bst1/Dnm2/Ezr/Flot1/Msn/Selplg/Spn",7
"GO:0106068","GO:0106068","SUMO ligase complex","7/4489","13/28618",0.538461538461538,3.43276727727608,3.78415100485379,0.00165918472485001,0.00752558785914111,0.00430390022611468,"Hmga1/Nsmce4a/Ranbp2/Rangap1/Smc5/Smc6/Ube2i",7
"GO:0034708","GO:0034708","methyltransferase complex","29/4489","107/28618",0.271028037383178,1.7278414733419,3.25341642692688,0.00174815134667961,0.00787684593340226,0.0045047854903005,"Aebp2/Ash2l/Bod1/Bod1l/Hcfc1/Kat8/Kdm6a/Kmt2a/Kmt2b/Kmt2d/Las1l/Mettl1/Mettl14/Mettl3/Nsd1/Rbbp4/Rbbp5/Rbbp7/Riok1/Sirt1/Snrpd1/Snrpd3/Snrpf/Taf1/Taf9/Trim37/Uty/Wdr77/Zc3h13",29
"GO:0005832","GO:0005832","chaperonin-containing T-complex","6/4489","10/28618",0.6,3.8250835375362,3.85393813223548,0.0017573015861921,0.00787684593340226,0.0045047854903005,"Cct3/Cct5/Cct6a/Cct6b/Cct7/Tcp1",6
"GO:0019897","GO:0019897","extrinsic component of plasma membrane","32/4489","122/28618",0.262295081967213,1.67216766668249,3.20909648452034,0.00187263835210638,0.00834473932342141,0.00477237474775033,"Akap9/Cabp1/Cdh10/Cdh12/Cdh20/Cdh23/Ctbp1/Ctnna1/Ctnna2/Ctnnd1/Cyth1/Dgki/Dnajc6/Farp1/Fbxo2/Gna13/Gnai2/Gnal/Gnao1/Gnb5/Gng12/Jak1/Jup/Mcf2l/Nbea/Olfm1/Rab13/Snap25/Stxbp1/Tiam1/Tirap/Traf6",32
"GO:0044295","GO:0044295","axonal growth cone","16/4489","48/28618",0.333333333333333,2.12504640974233,3.36475253746384,0.00192441418592845,0.00852560238184581,0.00487581072811737,"Boc/Cyfip1/Fkbp4/Gpm6a/Kif5c/Lrp1/Mapk8ip1/Neo1/Olfm1/Pard3/Ptch1/Scn11a/Snap25/Taok2/Tiam1/Trak1",16
"GO:0031461","GO:0031461","cullin-RING ubiquitin ligase complex","52/4489","224/28618",0.232142857142857,1.47994303535627,3.11040976536312,0.00198920047842599,0.00876168072000348,0.0050108244482407,"Amn1/Anapc11/Anapc13/Anapc15/Anapc16/Anapc5/Arih1/Arih2/Cacybp/Cand1/Ccnf/Cul3/Dcaf10/Dcaf11/Dcaf12/Dcaf13/Dcaf5/Ddb2/Depdc5/Enc1/Ercc8/Fbxl14/Fbxl17/Fbxl18/Fbxl2/Fbxl20/Fbxl22/Fbxl3/Fbxo2/Fbxo32/Fbxo4/Fbxo44/Fbxo9/Fbxw11/Fem1b/Kctd10/Kctd2/Klhdc10/Klhl12/Klhl15/Klhl3/Klhl41/Klhl42/Pnkp/Skp2/Tmem183a/Trpc4ap/Ube2s/Vhl/Wdr77/Wdtc1/Zswim8",52
"GO:0000315","GO:0000315","organellar large ribosomal subunit","18/4489","57/28618",0.315789473684211,2.01320186186116,3.30266021753992,0.00206606463427941,0.00899623572183379,0.00514496696897249,"Mrpl13/Mrpl14/Mrpl16/Mrpl18/Mrpl19/Mrpl23/Mrpl28/Mrpl30/Mrpl33/Mrpl40/Mrpl41/Mrpl42/Mrpl48/Mrpl50/Mrpl57/Mrps18a/Mrps30/Nsun3",18
