GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,Test.1.G,Test.1.G.1,Test.2.G,Test.2.G.1,Test.3.G,Test.3.G.1,change,label
Gm22057,10,65,-2.700439718,-2.737189373,9.24E-12,5.68E-11,5.68E-11,TRUE,8,1,1,1,1,63,Down,NA
Gm22067,3,43,-3.841302254,-3.878051909,6.66E-11,3.95E-10,3.95E-10,TRUE,1,1,1,41,1,1,Down,NA
Gm22138,5,220,-5.459431619,-5.496181273,0,0,0,TRUE,1,218,3,1,1,1,Down,NA
Gm22257,3,75,-4.64385619,-4.680605845,0,0,0,TRUE,1,1,1,1,1,73,Down,NA
Gm22325,7,81,-3.532495081,-3.569244736,0,0,0,TRUE,5,79,1,1,1,1,Down,NA
Gm22345,3,20,-2.736965594,-2.773715249,0.000139434,0.000574514,0.000574184,TRUE,1,1,1,18,1,1,Down,NA
Gm22514,3,25,-3.058893689,-3.095643344,6.57E-06,2.99E-05,2.99E-05,TRUE,1,1,1,1,1,23,Down,NA
Gm23057,3,93,-4.95419631,-4.990945965,0,0,0,TRUE,1,91,1,1,1,1,Down,NA
Gm23082,3,48,-4,-4.036749655,2.51E-12,1.58E-11,1.58E-11,TRUE,1,1,1,1,1,46,Down,NA
Gm23315,3,29,-3.273018494,-3.309768149,5.40E-07,2.65E-06,2.65E-06,TRUE,1,1,1,1,1,27,Down,NA
Gm23484,3,76,-4.662965013,-4.699714668,0,0,0,TRUE,1,74,1,1,1,1,Down,NA
Gm23501,3,105,-5.129283017,-5.166032672,0,0,0,TRUE,1,1,1,103,1,1,Down,NA
Gm23598,3,21,-2.807354922,-2.844104577,7.63E-05,0.000320741,0.000320641,TRUE,1,1,1,1,1,19,Down,NA
Gm23733,398,3070,-2.94739832,-2.984147975,0,0,0,TRUE,340,3068,57,1,1,1,Down,NA
Gm24031,3,86,-4.841302254,-4.878051909,0,0,0,TRUE,1,1,1,1,1,84,Down,NA
Gm24081,7,31,-2.146841388,-2.183591043,3.76E-05,0.000163923,0.000163917,TRUE,3,1,3,29,1,1,Down,NA
Gm24108,5,102,-4.350497247,-4.387246902,0,0,0,TRUE,1,100,3,1,1,1,Down,NA
Gm24166,6,81,-3.754887502,-3.791637157,0,0,0,TRUE,3,1,2,79,1,1,Down,NA
Gm24259,4,33,-3.044394119,-3.081143774,2.39E-07,1.19E-06,1.19E-06,TRUE,2,1,1,31,1,1,Down,NA
Gm24419,46,269,-2.547900406,-2.584650061,0,0,0,TRUE,19,1,26,267,1,1,Down,NA
Gm24527,5,61,-3.608809243,-3.645558897,3.34E-14,2.23E-13,2.23E-13,TRUE,3,1,1,1,1,59,Down,NA
Gm24544,3,34,-3.502500341,-3.539249995,2.25E-08,1.19E-07,1.19E-07,TRUE,1,1,1,1,1,32,Down,NA
Gm24857,14,69,-2.301169535,-2.33791919,1.41E-10,8.26E-10,8.26E-10,TRUE,1,1,12,1,1,67,Down,NA
Gm25093,4,34,-3.087462841,-3.124212496,1.29E-07,6.57E-07,6.57E-07,TRUE,2,1,1,32,1,1,Down,NA
Gm25341,27,238,-3.139930261,-3.176679916,0,0,0,TRUE,8,1,18,1,1,236,Down,NA
Gm25380,58,1414,-4.60758541,-4.644335064,0,0,0,TRUE,26,1,31,1,1,1412,Down,NA
Gm25395,53,314,-2.566700294,-2.603449949,0,0,0,TRUE,15,1,37,312,1,1,Down,NA
Gm25514,3,134,-5.48112669,-5.517876345,0,0,0,TRUE,1,132,1,1,1,1,Down,NA
Gm25556,3,36,-3.584962501,-3.621712156,6.24E-09,3.39E-08,3.39E-08,TRUE,1,1,1,1,1,34,Down,NA
Gm25675,25,103,-2.042644337,-2.079393992,3.28E-13,2.13E-12,2.13E-12,TRUE,7,1,17,101,1,1,Down,NA
Gm25783,20,276,-3.786596362,-3.823346017,0,0,0,TRUE,14,1,5,1,1,274,Down,NA
Gm26241,7,243,-5.117457582,-5.154207236,0,0,0,TRUE,3,1,3,241,1,1,Down,NA
Gm26358,7,47,-2.74723393,-2.783983584,4.89E-09,2.66E-08,2.66E-08,TRUE,4,1,2,1,1,45,Down,NA
Gm26445,6,28,-2.222392421,-2.259142076,6.29E-05,0.000268708,0.000268698,TRUE,1,1,4,26,1,1,Down,NA
Gm26635,44,213,-2.275278002,-2.312027656,0,0,0,TRUE,42,1,1,1,1,211,Down,NA
Gm26661,7,52,-2.893084796,-2.929834451,2.58E-10,1.49E-09,1.49E-09,TRUE,1,1,5,50,1,1,Down,NA
Gm26686,16,444,-4.794415866,-4.831165521,0,0,0,TRUE,14,1,1,1,1,442,Down,NA
Gm26707,35,701,-4.323987617,-4.360737272,0,0,0,TRUE,13,699,21,1,1,1,Down,NA
Gm26743,3,33,-3.459431619,-3.496181273,4.27E-08,2.22E-07,2.22E-07,TRUE,1,1,1,1,1,31,Down,NA
Gm26745,3,20,-2.736965594,-2.773715249,0.000139434,0.000574514,0.000574184,TRUE,1,11,1,1,1,8,Down,NA
Gm26774,3,50,-4.058893689,-4.095643344,6.73E-13,4.31E-12,4.31E-12,TRUE,1,28,1,21,1,1,Down,NA
Gm26797,425,2212,-2.379816639,-2.416566294,0,0,0,TRUE,157,2014,267,197,1,1,Down,NA
Gm26802,3,36,-3.584962501,-3.621712156,6.24E-09,3.39E-08,3.39E-08,TRUE,1,34,1,1,1,1,Down,NA
Gm26830,9,71,-2.979822118,-3.016571773,6.47E-14,4.29E-13,4.29E-13,TRUE,7,1,1,69,1,1,Down,NA
Gm26873,23,368,-4,-4.036749655,0,0,0,TRUE,1,1,21,1,1,366,Down,NA
Gm26920,5,29,-2.5360529,-2.572802555,1.08E-05,4.91E-05,4.91E-05,TRUE,3,1,1,27,1,1,Down,NA
Gm27640,5,43,-3.10433666,-3.141086315,2.63E-09,1.45E-08,1.45E-08,TRUE,3,3,1,1,1,39,Down,NA
Gm28043,9,76,-3.078002512,-3.114752167,3.22E-15,2.23E-14,2.23E-14,TRUE,1,1,7,74,1,1,Down,NA
Gm28055,18,115,-2.67556505,-2.712314704,0,0,0,TRUE,16,1,1,113,1,1,Down,NA
Gm28058,112,1758,-3.972364433,-4.009114088,0,0,0,TRUE,49,1,62,9,1,1748,Down,NA
Gm28130,3,84,-4.807354922,-4.844104577,0,0,0,TRUE,1,1,1,1,1,82,Down,NA
Gm28136,5,28,-2.485426827,-2.522176482,1.92E-05,8.54E-05,8.54E-05,TRUE,1,1,3,2,1,25,Down,NA
Gm28140,250,2622,-3.390667686,-3.42741734,0,0,0,TRUE,63,1,186,2620,1,1,Down,NA
Gm28156,3,97,-5.014950341,-5.051699996,0,0,0,TRUE,1,95,1,1,1,1,Down,NA
Gm28235,3,83,-4.790076931,-4.826826585,0,0,0,TRUE,1,1,1,4,1,78,Down,NA
Gm28284,3,435,-7.17990909,-7.216658745,0,0,0,TRUE,1,1,1,1,1,433,Down,NA
Gm28347,23,221,-3.264340603,-3.301090258,0,0,0,TRUE,19,1,3,1,1,219,Down,NA
Gm28356,113,474,-2.068564286,-2.105313941,0,0,0,TRUE,83,5,29,454,1,15,Down,NA
Gm28399,11,80,-2.862496476,-2.899246131,6.22E-15,4.27E-14,4.27E-14,TRUE,6,1,4,1,1,78,Down,NA
Gm28430,64,417,-2.703903573,-2.740653228,0,0,0,TRUE,18,1,45,415,1,1,Down,NA
Gm28492,3,42,-3.807354922,-3.844104577,1.28E-10,7.49E-10,7.49E-10,TRUE,1,40,1,1,1,1,Down,NA
Gm28518,3,63,-4.392317423,-4.429067078,1.11E-16,8.04E-16,7.98E-16,TRUE,1,1,1,1,1,61,Down,NA
Gm28549,3,34,-3.502500341,-3.539249995,2.25E-08,1.19E-07,1.19E-07,TRUE,1,1,1,29,1,4,Down,NA
Gm28572,9,65,-2.852442812,-2.889192466,2.26E-12,1.43E-11,1.43E-11,TRUE,3,1,5,1,1,63,Down,NA
Gm28764,3,23,-2.938599455,-2.97534911,2.26E-05,9.88E-05,9.87E-05,TRUE,1,1,1,1,1,21,Down,NA
Gm28840,3,334,-6.798741792,-6.835491447,0,0,0,TRUE,1,1,1,11,1,322,Down,NA
Gm29098,3,134,-5.48112669,-5.517876345,0,0,0,TRUE,1,1,1,1,1,132,Down,NA
Gm29131,3,554,-7.528779665,-7.56552932,0,0,0,TRUE,1,1,1,1,1,552,Down,NA
Gm29218,7,38,-2.440572591,-2.477322246,8.33E-07,4.04E-06,4.04E-06,TRUE,3,1,3,1,1,36,Down,NA
Gm29266,3,23,-2.938599455,-2.97534911,2.26E-05,9.88E-05,9.87E-05,TRUE,1,1,1,1,1,21,Down,NA
Gm29309,3,21,-2.807354922,-2.844104577,7.63E-05,0.000320741,0.000320641,TRUE,1,1,1,19,1,1,Down,NA
Gm29431,3,22,-2.874469118,-2.911218773,4.16E-05,0.000177974,0.000177932,TRUE,1,1,1,20,1,1,Down,NA
Gm29443,10,43,-2.10433666,-2.141086315,1.63E-06,7.78E-06,7.78E-06,TRUE,2,1,7,41,1,1,Down,NA
Gm29551,4,59,-3.882643049,-3.919392704,1.61E-14,1.09E-13,1.09E-13,TRUE,1,1,2,57,1,1,Down,NA
Gm29761,13,165,-3.665882496,-3.702632151,0,0,0,TRUE,11,1,1,1,1,163,Down,NA
Gm29793,25,100,-2,-2.036749655,1.45E-12,9.16E-12,9.16E-12,TRUE,4,1,20,1,1,98,Down,NA
Gm29803,8,117,-3.87036472,-3.907114374,0,0,0,TRUE,2,1,5,115,1,1,Down,NA
Gm30211,20,154,-2.944858446,-2.981608101,0,0,0,TRUE,18,1,1,115,1,38,Down,NA
Gm30239,5,41,-3.03562391,-3.072373565,8.91E-09,4.79E-08,4.79E-08,TRUE,1,1,3,39,1,1,Down,NA
Gm3033,3,28,-3.222392421,-3.259142076,1.01E-06,4.90E-06,4.90E-06,TRUE,1,1,1,1,1,26,Down,NA
Gm30400,1072,4783,-2.157610886,-2.19436054,0,0,0,TRUE,1019,4,52,1,1,4778,Down,NA
Gm30414,3,32,-3.415037499,-3.451787154,8.07E-08,4.15E-07,4.15E-07,TRUE,1,1,1,30,1,1,Down,NA
Gm30790,749,7377,-3.299996612,-3.336746267,0,0,0,TRUE,330,1,418,80,1,7296,Down,NA
Gm30835,3,39,-3.700439718,-3.737189373,8.99E-10,5.07E-09,5.07E-09,TRUE,1,1,1,1,1,37,Down,NA
Gm3150,11,337,-4.937173163,-4.973922817,0,0,0,TRUE,9,1,1,335,1,1,Down,NA
Gm31562,22,92,-2.064130337,-2.100879992,4.26E-12,2.66E-11,2.66E-11,TRUE,7,90,14,1,1,1,Down,NA
Gm31693,9,70,-2.959358016,-2.99610767,1.17E-13,7.71E-13,7.71E-13,TRUE,7,1,1,68,1,1,Down,NA
Gm31748,3,100,-5.058893689,-5.095643344,0,0,0,TRUE,1,98,1,1,1,1,Down,NA
Gm32486,17,1646,-6.597285779,-6.634035434,0,0,0,TRUE,15,1,1,1644,1,1,Down,NA
Gm3278,8,134,-4.06608919,-4.102838845,0,0,0,TRUE,1,1,6,1,1,132,Down,NA
Gm3289,14,81,-2.532495081,-2.569244736,2.03E-13,1.32E-12,1.32E-12,TRUE,1,1,12,79,1,1,Down,NA
Gm33460,3,52,-4.115477217,-4.152226872,1.79E-13,1.17E-12,1.17E-12,TRUE,1,41,1,1,1,10,Down,NA
Gm34471,13,68,-2.387023123,-2.423772778,7.65E-11,4.53E-10,4.53E-10,TRUE,4,1,8,1,1,66,Down,NA
Gm3455,7,54,-2.94753258,-2.984282235,7.84E-11,4.64E-10,4.64E-10,TRUE,5,1,1,1,1,52,Down,NA
Gm34783,3,20,-2.736965594,-2.773715249,0.000139434,0.000574514,0.000574184,TRUE,1,1,1,18,1,1,Down,NA
Gm34788,11,135,-3.617383978,-3.654133633,0,0,0,TRUE,9,1,1,133,1,1,Down,NA
Gm3531,3,32,-3.415037499,-3.451787154,8.07E-08,4.15E-07,4.15E-07,TRUE,1,1,1,1,1,30,Down,NA
Gm35725,15,232,-3.9510904,-3.987840054,0,0,0,TRUE,1,1,13,67,1,164,Down,NA
Gm35835,35,140,-2,-2.036749655,0,0,0,TRUE,1,1,33,138,1,1,Down,NA
Gm36065,3,37,-3.624490865,-3.66124052,3.27E-09,1.80E-08,1.80E-08,TRUE,1,35,1,1,1,1,Down,NA
Gm37053,15,70,-2.222392421,-2.259142076,2.50E-10,1.45E-09,1.45E-09,TRUE,5,1,9,68,1,1,Down,NA
Gm37088,19,215,-3.500265336,-3.537014991,0,0,0,TRUE,17,1,1,1,1,213,Down,NA
Gm37110,5,43,-3.10433666,-3.141086315,2.63E-09,1.45E-08,1.45E-08,TRUE,2,1,2,8,1,34,Down,NA
Gm37124,3,68,-4.502500341,-4.539249995,0,0,0,TRUE,1,1,1,66,1,1,Down,NA
Gm37132,16,306,-4.257387843,-4.294137497,0,0,0,TRUE,14,304,1,1,1,1,Down,NA
Gm37168,3,29,-3.273018494,-3.309768149,5.40E-07,2.65E-06,2.65E-06,TRUE,1,1,1,1,1,27,Down,NA
Gm37204,33,192,-2.540568381,-2.577318036,0,0,0,TRUE,19,1,13,1,1,190,Down,NA
Gm37255,7,102,-3.86507042,-3.901820075,0,0,0,TRUE,1,1,5,100,1,1,Down,NA
Gm37256,6,31,-2.36923381,-2.405983464,1.22E-05,5.43E-05,5.43E-05,TRUE,4,1,1,29,1,1,Down,NA
Gm37258,20,148,-2.887525271,-2.924274926,0,0,0,TRUE,1,146,18,1,1,1,Down,NA
Gm37340,8,79,-3.303780748,-3.340530403,1.11E-16,8.04E-16,7.98E-16,TRUE,1,1,1,77,6,1,Down,NA
Gm37342,3,52,-4.115477217,-4.152226872,1.79E-13,1.17E-12,1.17E-12,TRUE,1,1,1,1,1,50,Down,NA
Gm37438,7,204,-4.86507042,-4.901820075,0,0,0,TRUE,1,1,5,1,1,202,Down,NA
Gm37463,10,143,-3.837943242,-3.874692897,0,0,0,TRUE,6,1,3,141,1,1,Down,NA
Gm37472,139,1154,-3.053486436,-3.090236091,0,0,0,TRUE,116,1,22,1,1,1152,Down,NA
Gm37478,3,132,-5.459431619,-5.496181273,0,0,0,TRUE,1,1,1,130,1,1,Down,NA
Gm37498,7,50,-2.836501268,-2.873250923,8.42E-10,4.75E-09,4.75E-09,TRUE,5,1,1,48,1,1,Down,NA
Gm37517,14,112,-3,-3.036749655,0,0,0,TRUE,11,1,2,110,1,1,Down,NA
Gm37570,498,2646,-2.409595414,-2.446345069,0,0,0,TRUE,44,1,21,2644,433,1,Down,NA
Gm37608,19,604,-4.990477226,-5.027226881,0,0,0,TRUE,17,1,1,1,1,602,Down,NA
Gm37672,48,261,-2.442943496,-2.479693151,0,0,0,TRUE,13,116,34,44,1,101,Down,NA
Gm37673,38,217,-2.513623719,-2.550373374,0,0,0,TRUE,1,41,36,98,1,78,Down,NA
Gm37684,3,59,-4.297680549,-4.334430203,1.67E-15,1.16E-14,1.16E-14,TRUE,1,1,1,1,1,57,Down,NA
Gm37756,3,67,-4.48112669,-4.517876345,0,0,0,TRUE,1,1,1,1,1,65,Down,NA
Gm37788,175,2637,-3.913470744,-3.950220399,0,0,0,TRUE,63,2635,111,1,1,1,Down,NA
Gm37789,24,169,-2.815916936,-2.85266659,0,0,0,TRUE,22,1,1,167,1,1,Down,NA
Gm37792,5,28,-2.485426827,-2.522176482,1.92E-05,8.54E-05,8.54E-05,TRUE,1,1,3,1,1,26,Down,NA
Gm37824,3,43,-3.841302254,-3.878051909,6.66E-11,3.95E-10,3.95E-10,TRUE,1,1,1,41,1,1,Down,NA
Gm37843,3,86,-4.841302254,-4.878051909,0,0,0,TRUE,1,1,1,84,1,1,Down,NA
Gm37847,3,102,-5.087462841,-5.124212496,0,0,0,TRUE,1,100,1,1,1,1,Down,NA
Gm38036,565,4061,-2.845512255,-2.882261909,0,0,0,TRUE,101,4003,451,57,13,1,Down,NA
Gm38043,926,26520,-4.839924772,-4.876674427,0,0,0,TRUE,847,26516,78,1,1,3,Down,NA
Gm38073,11,168,-3.932885804,-3.969635459,0,0,0,TRUE,9,1,1,166,1,1,Down,NA
Gm38081,3,41,-3.772589504,-3.809339159,2.45E-10,1.42E-09,1.42E-09,TRUE,1,1,1,39,1,1,Down,NA
Gm38162,17,283,-4.057195402,-4.093945056,0,0,0,TRUE,15,281,1,1,1,1,Down,NA
Gm38192,20,417,-4.381975479,-4.418725133,0,0,0,TRUE,14,22,5,394,1,1,Down,NA
Gm38221,7,31,-2.146841388,-2.183591043,3.76E-05,0.000163923,0.000163917,TRUE,1,1,5,1,1,29,Down,NA
Gm38250,17,92,-2.436099115,-2.47284877,1.88E-14,1.27E-13,1.27E-13,TRUE,15,90,1,1,1,1,Down,NA
Gm38282,7,48,-2.777607579,-2.814357233,2.73E-09,1.50E-08,1.50E-08,TRUE,5,46,1,1,1,1,Down,NA
Gm40621,84,521,-2.632822139,-2.669571794,0,0,0,TRUE,12,23,71,497,1,1,Down,NA
Gm4070,3,105,-5.129283017,-5.166032672,0,0,0,TRUE,1,103,1,1,1,1,Down,NA
Gm40915,3,99,-5.044394119,-5.081143774,0,0,0,TRUE,1,48,1,50,1,1,Down,NA
Gm42442,6,35,-2.544320516,-2.581070171,1.28E-06,6.14E-06,6.14E-06,TRUE,4,1,1,1,1,33,Down,NA
Gm42443,15,109,-2.861293729,-2.898043384,0,0,0,TRUE,13,1,1,107,1,1,Down,NA
Gm42446,3,64,-4.415037499,-4.451787154,1.11E-16,8.04E-16,7.98E-16,TRUE,1,62,1,1,1,1,Down,NA
Gm42455,3,21,-2.807354922,-2.844104577,7.63E-05,0.000320741,0.000320641,TRUE,1,1,1,19,1,1,Down,NA
Gm42466,179,5249,-4.874011105,-4.91076076,0,0,0,TRUE,44,1,127,113,8,5135,Down,NA
Gm42560,30,153,-2.350497247,-2.387246902,0,0,0,TRUE,6,1,23,151,1,1,Down,NA
Gm42664,15,412,-4.779609932,-4.816359586,0,0,0,TRUE,1,410,13,1,1,1,Down,NA
Gm42695,49,476,-3.280107919,-3.316857574,0,0,0,TRUE,44,1,4,474,1,1,Down,NA
Gm42696,123,695,-2.498354662,-2.535104317,0,0,0,TRUE,121,693,1,1,1,1,Down,NA
Gm42715,632,12167,-4.26690512,-4.303654775,0,0,0,TRUE,335,180,296,1,1,11986,Down,NA
Gm42729,7,41,-2.550197083,-2.586946737,1.54E-07,7.82E-07,7.81E-07,TRUE,4,1,2,39,1,1,Down,NA
Gm42772,3,177,-5.882643049,-5.919392704,0,0,0,TRUE,1,1,1,1,1,175,Down,NA
Gm42793,67,329,-2.295854583,-2.332604238,0,0,0,TRUE,30,1,36,327,1,1,Down,NA
Gm42817,6,27,-2.169925001,-2.206674656,0.000107808,0.000452131,0.000452113,TRUE,1,1,4,25,1,1,Down,NA
Gm42828,3,582,-7.599912842,-7.636662497,0,0,0,TRUE,1,1,1,580,1,1,Down,NA
Gm42888,44,242,-2.459431619,-2.496181273,0,0,0,TRUE,21,240,22,1,1,1,Down,NA
Gm42939,994,5521,-2.473611844,-2.510361499,0,0,0,TRUE,308,1,685,15,1,5505,Down,NA
Gm42979,37,207,-2.484033592,-2.520783247,0,0,0,TRUE,1,1,33,205,3,1,Down,NA
Gm42991,113,518,-2.196629325,-2.23337898,0,0,0,TRUE,35,1,77,516,1,1,Down,NA
Gm43032,3,103,-5.101538026,-5.138287681,0,0,0,TRUE,1,101,1,1,1,1,Down,NA
Gm43048,6,217,-5.176588732,-5.213338387,0,0,0,TRUE,1,215,4,1,1,1,Down,NA
Gm43104,3,60,-4.321928095,-4.35867775,8.88E-16,6.25E-15,6.25E-15,TRUE,1,58,1,1,1,1,Down,NA
Gm43130,15,66,-2.137503524,-2.174253179,2.00E-09,1.11E-08,1.11E-08,TRUE,9,1,5,64,1,1,Down,NA
Gm43155,136,13718,-6.656319699,-6.693069354,0,0,0,TRUE,35,1,100,26,1,13691,Down,NA
Gm43167,23,253,-3.459431619,-3.496181273,0,0,0,TRUE,9,251,13,1,1,1,Down,NA
Gm43188,15,356,-4.568842835,-4.60559249,0,0,0,TRUE,1,1,13,1,1,354,Down,NA
Gm43231,3,21,-2.807354922,-2.844104577,7.63E-05,0.000320741,0.000320641,TRUE,1,1,1,1,1,19,Down,NA
Gm43244,3,162,-5.754887502,-5.791637157,0,0,0,TRUE,1,1,1,160,1,1,Down,NA
Gm43284,3,98,-5.029747343,-5.066496998,0,0,0,TRUE,1,1,1,1,1,96,Down,NA
Gm43318,396,1626,-2.037754922,-2.074504577,0,0,0,TRUE,153,1,242,1624,1,1,Down,NA
Gm43334,8,59,-2.882643049,-2.919392704,1.79E-11,1.09E-10,1.09E-10,TRUE,5,57,2,1,1,1,Down,NA
Gm43341,3,2269,-9.562878393,-9.599628048,0,0,0,TRUE,1,1,1,2267,1,1,Down,NA
Gm43403,7,29,-2.050626073,-2.087375728,0.000107205,0.00044971,0.000449657,TRUE,1,1,5,27,1,1,Down,NA
Gm43435,11,45,-2.032421478,-2.069171132,1.60E-06,7.65E-06,7.64E-06,TRUE,1,1,9,43,1,1,Down,NA
Gm43473,53,287,-2.436986472,-2.473736127,0,0,0,TRUE,47,1,5,66,1,220,Down,NA
Gm43533,155,1860,-3.584962501,-3.621712156,0,0,0,TRUE,31,1,123,1858,1,1,Down,NA
Gm43579,3,75,-4.64385619,-4.680605845,0,0,0,TRUE,1,73,1,1,1,1,Down,NA
Gm43618,11,45,-2.032421478,-2.069171132,1.60E-06,7.65E-06,7.64E-06,TRUE,5,43,5,1,1,1,Down,NA
Gm43660,3,46,-3.938599455,-3.97534911,9.35E-12,5.75E-11,5.75E-11,TRUE,1,29,1,1,1,16,Down,NA
Gm43663,88,1082,-3.620053165,-3.65680282,0,0,0,TRUE,29,1,58,1080,1,1,Down,NA
Gm43688,3,60,-4.321928095,-4.35867775,8.88E-16,6.25E-15,6.25E-15,TRUE,1,1,1,58,1,1,Down,NA
Gm43698,20,109,-2.44625623,-2.483005885,1.11E-16,8.04E-16,7.98E-16,TRUE,9,1,10,107,1,1,Down,NA
Gm43737,33,395,-3.581314724,-3.618064379,0,0,0,TRUE,31,1,1,1,1,393,Down,NA
Gm43780,26,152,-2.547487795,-2.58423745,0,0,0,TRUE,16,5,9,146,1,1,Down,NA
Gm43793,259,4028,-3.95903968,-3.995789335,0,0,0,TRUE,43,1,215,4026,1,1,Down,NA
Gm43888,7,35,-2.321928095,-2.35867775,4.37E-06,2.01E-05,2.01E-05,TRUE,1,33,5,1,1,1,Down,NA
Gm43889,8,1876,-7.873444113,-7.910193767,0,0,0,TRUE,6,1874,1,1,1,1,Down,NA
Gm43903,10,94,-3.232660757,-3.269410412,0,0,0,TRUE,8,1,1,1,1,92,Down,NA
Gm43908,889,3775,-2.08622132,-2.122970975,0,0,0,TRUE,197,1,683,3761,9,13,Down,NA
Gm43931,667,5395,-3.015864293,-3.052613948,0,0,0,TRUE,160,5379,475,9,32,7,Down,NA
Gm44111,3,23,-2.938599455,-2.97534911,2.26E-05,9.88E-05,9.87E-05,TRUE,1,1,1,21,1,1,Down,NA
Gm44116,97,678,-2.805228621,-2.841978276,0,0,0,TRUE,15,1,81,1,1,676,Down,NA
Gm44142,6,52,-3.115477217,-3.152226872,5.46E-11,3.24E-10,3.24E-10,TRUE,4,1,1,50,1,1,Down,NA
Gm44209,5,183,-5.193771743,-5.230521398,0,0,0,TRUE,3,1,1,1,1,181,Down,NA
Gm4425,3,51,-4.087462841,-4.124212496,3.48E-13,2.24E-12,2.24E-12,TRUE,1,1,1,1,1,49,Down,NA
Gm44252,5,39,-2.963474124,-3.000223779,2.99E-08,1.56E-07,1.56E-07,TRUE,3,1,1,1,1,37,Down,NA
Gm44257,3,146,-5.604862058,-5.641611713,0,0,0,TRUE,1,1,1,1,1,144,Down,NA
Gm44295,32,143,-2.159871337,-2.196620992,0,0,0,TRUE,19,141,12,1,1,1,Down,NA
Gm44366,3,75,-4.64385619,-4.680605845,0,0,0,TRUE,1,1,1,73,1,1,Down,NA
Gm44521,7,776,-6.79255792,-6.829307575,0,0,0,TRUE,1,774,5,1,1,1,Down,NA
Gm44567,39,277,-2.828339947,-2.865089602,0,0,0,TRUE,11,275,27,1,1,1,Down,NA
Gm44667,21,132,-2.652076697,-2.688826351,0,0,0,TRUE,1,1,19,130,1,1,Down,NA
Gm44693,39,817,-4.388790049,-4.425539704,0,0,0,TRUE,27,1,11,1,1,815,Down,NA
Gm44789,37,332,-3.165586066,-3.202335721,0,0,0,TRUE,19,1,17,330,1,1,Down,NA
Gm44950,41,270,-2.719263592,-2.756013247,0,0,0,TRUE,9,1,31,1,1,268,Down,NA
Gm45132,3,51,-4.087462841,-4.124212496,3.48E-13,2.24E-12,2.24E-12,TRUE,1,1,1,49,1,1,Down,NA
Gm45177,36,426,-3.564784619,-3.601534274,0,0,0,TRUE,18,30,17,1,1,395,Down,NA
Gm45187,3,276,-6.523561956,-6.560311611,0,0,0,TRUE,1,274,1,1,1,1,Down,NA
Gm45205,104,500,-2.265344567,-2.302094221,0,0,0,TRUE,11,5,92,1,1,494,Down,NA
Gm45220,166,987,-2.571866843,-2.608616498,0,0,0,TRUE,127,1,33,985,6,1,Down,NA
Gm45221,13,85,-2.708951218,-2.745700873,5.77E-15,3.97E-14,3.97E-14,TRUE,1,1,11,83,1,1,Down,NA
Gm45264,3,62,-4.36923381,-4.405983464,2.22E-16,1.59E-15,1.59E-15,TRUE,1,56,1,1,1,5,Down,NA
Gm45286,3,35,-3.544320516,-3.581070171,1.19E-08,6.37E-08,6.36E-08,TRUE,1,1,1,33,1,1,Down,NA
Gm45323,11,87,-2.983511877,-3.020261532,1.11E-16,8.04E-16,7.98E-16,TRUE,9,1,1,85,1,1,Down,NA
Gm45399,1630,36244,-4.474798315,-4.51154797,0,0,0,TRUE,108,661,116,1,1406,35582,Down,NA
Gm45422,454,2992,-2.720345973,-2.757095627,0,0,0,TRUE,172,1,281,2990,1,1,Down,NA
Gm45579,3,8734,-11.50746432,-11.54421397,0,0,0,TRUE,1,8724,1,1,1,9,Down,NA
Gm45605,37,785,-4.407095478,-4.443845133,0,0,0,TRUE,11,122,25,554,1,109,Down,NA
Gm45672,172,753,-2.1302413,-2.166990955,0,0,0,TRUE,31,751,140,1,1,1,Down,NA
Gm45697,3,195,-6.022367813,-6.059117468,0,0,0,TRUE,1,1,1,193,1,1,Down,NA
Gm45767,64,341,-2.413627929,-2.450377584,0,0,0,TRUE,9,1,54,101,1,239,Down,NA
Gm46332,3,204,-6.087462841,-6.124212496,0,0,0,TRUE,1,15,1,1,1,188,Down,NA
Gm47013,7,29,-2.050626073,-2.087375728,0.000107205,0.00044971,0.000449657,TRUE,5,1,1,27,1,1,Down,NA
Gm47050,14,127,-3.181329765,-3.21807942,0,0,0,TRUE,4,125,9,1,1,1,Down,NA
Gm47078,3,285,-6.569855608,-6.606605263,0,0,0,TRUE,1,1,1,283,1,1,Down,NA
Gm47085,14,484,-5.111508315,-5.14825797,0,0,0,TRUE,4,482,9,1,1,1,Down,NA
Gm47088,7,74,-3.402098444,-3.438848098,3.33E-16,2.38E-15,2.37E-15,TRUE,5,1,1,72,1,1,Down,NA
Gm47097,3,96,-5,-5.036749655,0,0,0,TRUE,1,1,1,1,1,94,Down,NA
Gm47124,24,307,-3.677132345,-3.713881999,0,0,0,TRUE,5,1,18,305,1,1,Down,NA
Gm47138,114,668,-2.550814278,-2.587563933,0,0,0,TRUE,11,640,20,27,83,1,Down,NA
Gm47223,24,173,-2.849665727,-2.886415382,0,0,0,TRUE,17,171,6,1,1,1,Down,NA
Gm47271,3,48,-4,-4.036749655,2.51E-12,1.58E-11,1.58E-11,TRUE,1,46,1,1,1,1,Down,NA
