GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,Test.1.G,Test.1.G.1,Test.2.G,Test.2.G.1,Test.3.G,Test.3.G.1,change,label
Ereg,3,49,-4.029747343,-4.066496998,1.30E-12,8.23E-12,8.23E-12,TRUE,1,1,1,47,1,1,Down,NA
Ergic1,3,24,-3,-3.036749655,1.22E-05,5.44E-05,5.44E-05,TRUE,1,22,1,1,1,1,Down,NA
Etnppl,208,2885,-3.793915885,-3.83066554,0,0,0,TRUE,88,1,79,1,41,2883,Down,NA
Eva1c,7,35,-2.321928095,-2.35867775,4.37E-06,2.01E-05,2.01E-05,TRUE,1,33,5,1,1,1,Down,NA
Evc2,86,361,-2.069590272,-2.106339927,0,0,0,TRUE,63,359,22,1,1,1,Down,NA
Exoc2,13,53,-2.027480736,-2.064230391,2.00E-07,1.00E-06,1.00E-06,TRUE,7,5,5,47,1,1,Down,NA
Exoc5,1164,5157,-2.147440987,-2.184190642,0,0,0,TRUE,977,805,186,4123,1,229,Down,NA
Exosc2,24,587,-4.612254192,-4.649003847,0,0,0,TRUE,12,1,11,1,1,585,Down,NA
F9,71,742,-3.385528257,-3.422277912,0,0,0,TRUE,50,740,15,1,6,1,Down,NA
Faah,57,246,-2.109624491,-2.146374146,0,0,0,TRUE,37,1,19,244,1,1,Down,NA
Fahd2a,3,27,-3.169925001,-3.206674656,1.89E-06,9.03E-06,9.02E-06,TRUE,1,25,1,1,1,1,Down,NA
Fam105a,3,37,-3.624490865,-3.66124052,3.27E-09,1.80E-08,1.80E-08,TRUE,1,35,1,1,1,1,Down,NA
Fam184a,44,1315,-4.901415466,-4.93816512,0,0,0,TRUE,42,1,1,1313,1,1,Down,NA
Fam193b,59,383,-2.698557533,-2.735307187,0,0,0,TRUE,32,1,26,381,1,1,Down,NA
Fam212b,11,440,-5.321928095,-5.35867775,0,0,0,TRUE,1,438,9,1,1,1,Down,NA
Fam32a,29,340,-3.551409941,-3.588159596,0,0,0,TRUE,15,1,13,338,1,1,Down,NA
Fam46c,3,316,-6.718818247,-6.755567902,0,0,0,TRUE,1,30,1,285,1,1,Down,NA
Fam60a,6,38,-2.662965013,-2.699714668,2.29E-07,1.15E-06,1.15E-06,TRUE,1,1,4,1,1,36,Down,NA
Fanca,28,181,-2.692490965,-2.72924062,0,0,0,TRUE,14,1,13,161,1,19,Down,NA
Fap,10,205,-4.357552005,-4.394301659,0,0,0,TRUE,8,203,1,1,1,1,Down,NA
Fbxo28,52,7190,-7.111336337,-7.148085992,0,0,0,TRUE,38,1,13,1,1,7188,Down,NA
Fbxo34,19,117,-2.622437206,-2.659186861,0,0,0,TRUE,7,1,11,1,1,115,Down,NA
Fbxo8,8,122,-3.930737338,-3.967486992,0,0,0,TRUE,6,32,1,1,1,89,Down,NA
Fgd6,4,35,-3.129283017,-3.166032672,6.99E-08,3.60E-07,3.60E-07,TRUE,2,8,1,1,1,26,Down,NA
Fgf14,128,742,-2.535275377,-2.572025031,0,0,0,TRUE,116,1,11,1,1,740,Down,NA
Fkbp14,19,749,-5.300894395,-5.33764405,0,0,0,TRUE,17,1,1,1,1,747,Down,NA
Flt4,240,14471,-5.913986405,-5.95073606,0,0,0,TRUE,201,1,38,12,1,14458,Down,NA
Fn3k,23,14700,-9.319966579,-9.356716233,0,0,0,TRUE,21,5,1,1,1,14694,Down,NA
Fndc8,26,1281,-5.622615042,-5.659364697,0,0,0,TRUE,15,1279,10,1,1,1,Down,NA
Foxg1,52,616,-3.566346823,-3.603096477,0,0,0,TRUE,23,67,28,548,1,1,Down,NA
Frmd7,3,59,-4.297680549,-4.334430203,1.67E-15,1.16E-14,1.16E-14,TRUE,1,1,1,1,1,57,Down,NA
Fth.ps3,7,307,-5.454739923,-5.491489578,0,0,0,TRUE,5,305,1,1,1,1,Down,NA
Fut10,9,81,-3.169925001,-3.206674656,1.11E-16,8.04E-16,7.98E-16,TRUE,7,1,1,79,1,1,Down,NA
Gabrr1,12,77,-2.68182404,-2.718573695,1.44E-13,9.42E-13,9.42E-13,TRUE,5,1,6,1,1,75,Down,NA
Gadd45a,3,43,-3.841302254,-3.878051909,6.66E-11,3.95E-10,3.95E-10,TRUE,1,1,1,33,1,9,Down,NA
Galk2,3,27,-3.169925001,-3.206674656,1.89E-06,9.03E-06,9.02E-06,TRUE,1,1,1,13,1,13,Down,NA
Gatad2b,1068,8510,-2.994247485,-3.03099714,0,0,0,TRUE,697,8377,368,132,3,1,Down,NA
Gbp7,513,2683,-2.386816324,-2.423565978,0,0,0,TRUE,332,5,175,1,6,2677,Down,NA
Gja3,9,96,-3.415037499,-3.451787154,0,0,0,TRUE,1,1,7,1,1,94,Down,NA
Gkap1,22,219,-3.315355441,-3.352105096,0,0,0,TRUE,20,1,1,217,1,1,Down,NA
Glipr1l1,20,95,-2.247927513,-2.284677168,1.15E-13,7.58E-13,7.58E-13,TRUE,11,1,8,15,1,79,Down,NA
Gm10044,3,51,-4.087462841,-4.124212496,3.48E-13,2.24E-12,2.24E-12,TRUE,1,1,1,49,1,1,Down,NA
Gm10087,7,98,-3.807354922,-3.844104577,0,0,0,TRUE,5,1,1,1,1,96,Down,NA
Gm10115,22,156,-2.8259706,-2.862720255,0,0,0,TRUE,5,1,5,154,12,1,Down,NA
Gm10232,12,131,-3.448460501,-3.485210156,0,0,0,TRUE,6,1,1,129,5,1,Down,NA
Gm10371,70,717,-3.356546292,-3.393295947,0,0,0,TRUE,68,1,1,1,1,715,Down,NA
Gm10376,3,41,-3.772589504,-3.809339159,2.45E-10,1.42E-09,1.42E-09,TRUE,1,1,1,1,1,39,Down,NA
Gm10490,3,79,-4.718818247,-4.755567902,0,0,0,TRUE,1,1,1,1,1,77,Down,NA
Gm10639,3,41,-3.772589504,-3.809339159,2.45E-10,1.42E-09,1.42E-09,TRUE,1,1,1,1,1,39,Down,NA
Gm10646,11,84,-2.932885804,-2.969635459,5.55E-16,3.93E-15,3.92E-15,TRUE,5,1,5,82,1,1,Down,NA
Gm10652,98,3092,-4.97961476,-5.016364415,0,0,0,TRUE,70,94,27,2997,1,1,Down,NA
Gm10754,3,231,-6.266786541,-6.303536195,0,0,0,TRUE,1,1,1,1,1,229,Down,NA
Gm10772,3,54,-4.169925001,-4.206674656,4.77E-14,3.18E-13,3.18E-13,TRUE,1,52,1,1,1,1,Down,NA
Gm10803,12,575,-5.582455645,-5.6192053,0,0,0,TRUE,5,1,6,1,1,573,Down,NA
Gm10863,7,35,-2.321928095,-2.35867775,4.37E-06,2.01E-05,2.01E-05,TRUE,1,1,5,9,1,25,Down,NA
