"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034243","GO:0034243","regulation of transcription elongation by RNA polymerase II","19/4447","75/28905",0.253333333333333,1.64663818304475,2.39095677438447,0.0170829312583225,0.0607838974638971,0.0393231256446728,"Brd4/Ccnt2/Cdk9/Ell/Ell2/Ercc6/Ikzf1/Med15/Med16/Med21/Med22/Med28/Med29/Pwwp2a/Pwwp2b/Rnf8/Sirt6/Supt4a/Zmynd11",19
"GO:0061512","GO:0061512","protein localization to cilium","19/4447","75/28905",0.253333333333333,1.64663818304475,2.39095677438447,0.0170829312583225,0.0607838974638971,0.0393231256446728,"Arf4/Arl3/Ccdc88a/Csnk1d/Fam149b/Ift122/Ift140/Inpp5e/Iqce/Rab11a/Rab11fip3/Rab29/Rabep1/Spata7/Tctn1/Tctn2/Ttc21a/Tulp1/Tulp3",19
"GO:0001754","GO:0001754","eye photoreceptor cell differentiation","17/4447","65/28905",0.261538461538462,1.69997059383162,2.40902282243684,0.0171242117410832,0.0608967216862891,0.0393961153879764,"Bhlhe23/Casz1/Dzank1/Hcn1/Miat/Nrl/Olfm3/Otx2/Pax6/Pde6c/Prkci/Rdh13/Sdk2/Sox8/Stat3/Thrb/Tulp1",17
"GO:0042440","GO:0042440","pigment metabolic process","18/4447","70/28905",0.257142857142857,1.67139965948151,2.39812726901621,0.0171545291610714,0.0609364123521698,0.0394217926003051,"Abcb10/Abcb7/Appl1/Bcl2/Blvra/Cpox/Dct/Ireb2/Opn3/Pgrmc1/Slc11a2/Slc25a39/Slc48a1/Slc6a9/Srrd/Tmem14c/Vhl/Zeb2",18
"GO:0045600","GO:0045600","positive regulation of fat cell differentiation","18/4447","70/28905",0.257142857142857,1.67139965948151,2.39812726901621,0.0171545291610714,0.0609364123521698,0.0394217926003051,"Aamdc/Akt1/Bmp2/Crebl2/Ffar4/Fndc3b/Fndc5/Htr2a/Lpl/Mecom/Noct/Rreb1/Sirt6/Stk4/Syap1/Tph1/Vstm2a/Zbtb16",18
"GO:0006638","GO:0006638","neutral lipid metabolic process","34/4447","154/28905",0.220779220779221,1.43504011167605,2.30815650812207,0.0172059003545102,0.0610847868612689,0.0395177810068931,"Abhd5/Acsl4/Acsl6/Ang/Apobec1/Apobr/Atg14/Cav1/Cpt1a/Dgat2l6/Dgke/Dgkg/Dgki/Gk5/Gpam/Gpat4/Gpld1/Il6st/Lipg/Lmf1/Lpl/Mboat7/Mgll/Pla2g4a/Plce1/Plin5/Ptpn11/Sirt1/Slc27a1/Snca/Tbl1xr1/Thrb/Thrsp/Tmx1",34
"GO:0072331","GO:0072331","signal transduction by p53 class mediator","36/4447","165/28905",0.218181818181818,1.4181572868328,2.29689069359808,0.0173987544013388,0.0615080378988321,0.0397915961853164,"Acer2/Ankrd1/Armc10/Brca2/Casp6/Cdkn1a/Cradd/E2f7/Eda2r/Ercc2/Muc1/Nop2/Npm1/Nupr1/Pak1ip1/Pou4f1/Ppp2r5c/Prap1/Rpl37rt/Rps15/Rps7/Rrn3/Sesn2/Sirt1/Smyd2/Sp100/Spred1/Spred2/Steap3/Tmem109/Trp53/Trp53bp2/Ubb/Usp10/Usp28/Wwox",36
"GO:2001235","GO:2001235","positive regulation of apoptotic signaling pathway","38/4447","176/28905",0.215909090909091,1.40338481509496,2.28885190556804,0.0174898184127117,0.0615080378988321,0.0397915961853164,"App/Atf3/Bad/Bid/Cav1/Clu/Cradd/Ctnna1/Ctsc/Cyct/Cyld/Daxx/Dnm1l/Fadd/Fis1/Gper1/Gsdme/Lck/Nox1/Nupr1/Pea15a/Pias4/Ppp1ca/Prkcd/Ptpn2/Rack1/Rbck1/Rps7/Runx3/Serinc3/Sirt1/Steap3/Stk4/Tgfb2/Trp53/Trps1/Ubb/Wwox",38
"GO:0055088","GO:0055088","lipid homeostasis","40/4447","187/28905",0.213903743315508,1.39035028120863,2.28349609324721,0.0174949892203252,0.0615080378988321,0.0397915961853164,"Abca3/Abcb11/Abcg1/Abcg5/Abcg8/Abhd5/Adck1/Adora1/Adrb1/Apoa1/Apoc4/Atp13a2/Cav1/Ces1c/Cln8/Cyp39a1/Fabp4/Got1/Gpam/Hnf4a/Lipg/Lncbate1/Lpl/Malrd1/Mia2/Ncor1/Nfe2l1/Npc1/Nr1d1/Nr1d2/Pnpla8/Prkaa1/Sar1b/Sesn2/Sirt1/Slc25a46/Soat1/Tlcd2/Tsku/Ttc39b",40
"GO:0051053","GO:0051053","negative regulation of DNA metabolic process","31/4447","138/28905",0.22463768115942,1.46011967032,2.31028269538098,0.0175319486443622,0.0615080378988321,0.0397915961853164,"Acd/Ankrd1/Bcl6/Cdkn1a/Chek1/Ctc1/Dnajc2/Dppa3/Ercc4/Ercc6/Gata3/Gmnn/Gtpbp4/Hnrnpc/Klhl15/Mcidas/Mlh1/Msh3/Nat10/Ndfip1/Otub2/Parp3/Pif1/Polq/Rad17/Smchd1/Ten1/Terf2/Trim28/Trp53/Xrcc5",31
"GO:0043501","GO:0043501","skeletal muscle adaptation","8/4447","23/28905",0.347826086956522,2.26083045726968,2.57934269048463,0.0175451474709138,0.0615080378988321,0.0397915961853164,"Ar/Cflar/Gtf2ird2/Igfbp5/Myh7/Myoz2/Nfatc1/Tnni1",8
"GO:0070935","GO:0070935","3'-UTR-mediated mRNA stabilization","8/4447","23/28905",0.347826086956522,2.26083045726968,2.57934269048463,0.0175451474709138,0.0615080378988321,0.0397915961853164,"Angel2/Dazl/Hnrnpc/Mapkapk2/Mettl16/Ptbp1/Rbm10/Tirap",8
"GO:0098974","GO:0098974","postsynaptic actin cytoskeleton organization","8/4447","23/28905",0.347826086956522,2.26083045726968,2.57934269048463,0.0175451474709138,0.0615080378988321,0.0397915961853164,"Actr3/Arf1/Ezr/Farp1/Myh10/Rock2/Sh3gl2/Srcin1",8
"GO:0099188","GO:0099188","postsynaptic cytoskeleton organization","8/4447","23/28905",0.347826086956522,2.26083045726968,2.57934269048463,0.0175451474709138,0.0615080378988321,0.0397915961853164,"Actr3/Arf1/Ezr/Farp1/Myh10/Rock2/Sh3gl2/Srcin1",8
"GO:0002858","GO:0002858","regulation of natural killer cell mediated cytotoxicity directed against tumor cell target","5/4447","11/28905",0.454545454545455,2.95449434756833,2.76457894305776,0.0176306352279525,0.0615080378988321,0.0397915961853164,"Crtam/Havcr2/Il12b/Nectin2/Pvr",5
"GO:0006488","GO:0006488","dolichol-linked oligosaccharide biosynthetic process","5/4447","11/28905",0.454545454545455,2.95449434756833,2.76457894305776,0.0176306352279525,0.0615080378988321,0.0397915961853164,"Alg13/Alg14/Alg2/Dpagt1/Srd5a3",5
