GeneNames,value1,value2,log2(Fold_change),log2(Fold_change) normalized,p-value,q-value(Benjamini et al. 1995),q-value(Storey et al. 2003),Signature(p-value < 0.001)
Glg1,729,1378,-0.918585168,-0.861256589,0,0,0,TRUE
Ddx23,162,3,5.754887502,5.812216081,0,0,0,TRUE
Etv3,4021,12924,-1.684426414,-1.627097836,0,0,0,TRUE
Prkcsh,1108,6197,-2.483612087,-2.426283508,0,0,0,TRUE
Rps11,3,406,-7.080373416,-7.023044838,0,0,0,TRUE
Pex19,191,10334,-5.75768234,-5.700353761,0,0,0,TRUE
Dusp3,2621,26188,-3.320716625,-3.263388046,0,0,0,TRUE
Fosb,852,474,0.845966371,0.90329495,0,0,0,TRUE
Cp,149,3,5.63420602,5.691534599,0,0,0,TRUE
Snrnp200,51,183,-1.843274496,-1.785945917,0,0,0,TRUE
Brd8,543,2376,-2.129510733,-2.072182154,0,0,0,TRUE
Farsa,33485,3066,3.449085366,3.506413945,0,0,0,TRUE
Calr,10405,13196,-0.342823718,-0.285495139,0,0,0,TRUE
Nfat5,125,19,2.717856771,2.77518535,0,0,0,TRUE
Nqo1,157,551,-1.81128776,-1.753959181,0,0,0,TRUE
Bax,3,73,-4.604862058,-4.547533479,0,0,0,TRUE
Mmd,134,7,4.258734268,4.316062847,0,0,0,TRUE
Grm3,7,390,-5.799975392,-5.742646813,0,0,0,TRUE
Ssbp2,639,19,5.071744608,5.129073186,0,0,0,TRUE
Stat3,358,53,2.755895323,2.813223902,0,0,0,TRUE
Dnaja3,10323,2730,1.918889442,1.976218021,0,0,0,TRUE
Hmox2,3,487,-7.342815461,-7.285486882,0,0,0,TRUE
Map3k20,2249,28533,-3.665275876,-3.607947297,0,0,0,TRUE
Cwc15,3,11604,-11.91737208,-11.8600435,0,0,0,TRUE
Cacna1e,770,16,5.588714636,5.646043215,0,0,0,TRUE
Cacna1b,17,175,-3.363748271,-3.306419692,0,0,0,TRUE
Trmt10a,3,113,-5.235216462,-5.177887883,0,0,0,TRUE
Etv1,97,1173,-3.596074456,-3.538745877,0,0,0,TRUE
Psap,8,85,-3.409390936,-3.352062357,0,0,0,TRUE
Ptpn6,3,219,-6.189824559,-6.13249598,0,0,0,TRUE
Clcn5,231,8,4.851749041,4.90907762,0,0,0,TRUE
Clcn3,727,12235,-4.072914927,-4.015586348,0,0,0,TRUE
Pde1c,23,4932,-7.744395128,-7.687066549,0,0,0,TRUE
Large1,545,3,7.505149919,7.562478498,0,0,0,TRUE
Ppp1cc,3,444,-7.209453366,-7.152124787,0,0,0,TRUE
Dnajb11,153,30,2.350497247,2.407825826,0,0,0,TRUE
Tbccd1,3,661,-7.783543961,-7.726215382,0,0,0,TRUE
Mettl17,186,3,5.95419631,6.011524889,0,0,0,TRUE
Mcoln1,259,16,4.016808288,4.074136867,0,0,0,TRUE
Arhgef18,87,8,3.442943496,3.500272075,0,0,0,TRUE
Pkn2,31,474,-3.934546939,-3.87721836,0,0,0,TRUE
Sgce,32257,12,11.39236215,11.44969073,0,0,0,TRUE
Abca13,193,693,-1.844254505,-1.786925926,0,0,0,TRUE
Hdac9,29,141,-2.281570357,-2.224241778,0,0,0,TRUE
Eif2b2,15,397,-4.726104602,-4.668776023,0,0,0,TRUE
Dlst,236,15,3.975752454,4.033081033,0,0,0,TRUE
Ulk2,5431,72,6.237077146,6.294405725,0,0,0,TRUE
Ap1s1,4789,3,10.64054622,10.6978748,0,0,0,TRUE
Srpk1,575,15,5.26052755,5.317856129,0,0,0,TRUE
Pax3,504,3,7.392317423,7.449646002,0,0,0,TRUE
Lbr,2567,2035,0.335054501,0.39238308,0,0,0,TRUE
Nes,275,3,6.518325308,6.575653887,0,0,0,TRUE
Bcan,223,3,6.215937399,6.273265978,0,0,0,TRUE
Rrnad1,160,454,-1.504620392,-1.447291813,0,0,0,TRUE
Rasa4,10,180,-4.169925001,-4.112596422,0,0,0,TRUE
Hnrnpa2b1,1135,250,2.182692298,2.240020876,0,0,0,TRUE
Fxyd4,1848,257,2.846124492,2.903453071,0,0,0,TRUE
Mri1,216,3,6.169925001,6.22725358,0,0,0,TRUE
Prkacb,405,143,1.501906761,1.55923534,0,0,0,TRUE
Chd5,1755,68,4.689792474,4.747121053,0,0,0,TRUE
Slc1a2,2238,8346,-1.898874884,-1.841546305,0,0,0,TRUE
Ndrg1,3,223,-6.215937399,-6.15860882,0,0,0,TRUE
Prdx2,43,5863,-7.091158587,-7.033830008,0,0,0,TRUE
Dnah2,96,3,5,5.057328579,0,0,0,TRUE
Ubqln1,3,240,-6.321928095,-6.264599516,0,0,0,TRUE
Cadm3,43,541,-3.653220029,-3.59589145,0,0,0,TRUE
Txn2,67,2116,-4.981034722,-4.923706143,0,0,0,TRUE
Slc1a3,2204,1414,0.640342104,0.697670683,0,0,0,TRUE
Il5ra,12,268,-4.48112669,-4.423798111,0,0,0,TRUE
Msh6,487,2095,-2.104956567,-2.047627988,0,0,0,TRUE
Bud23,6,117,-4.285402219,-4.22807364,0,0,0,TRUE
Prkaca,31,1263,-5.348442613,-5.291114034,0,0,0,TRUE
Asf1b,3,69,-4.523561956,-4.466233377,0,0,0,TRUE
Usp40,4956,26405,-2.413563049,-2.35623447,0,0,0,TRUE
Ndufs3,836,3388,-2.018859027,-1.961530448,0,0,0,TRUE
Igf1r,12058,115,6.712212963,6.769541542,0,0,0,TRUE
Insr,1482,18,6.363404731,6.42073331,0,0,0,TRUE
Mef2c,12559,111,6.822018109,6.879346688,0,0,0,TRUE
Eif4g2,6849,3,11.15671514,11.21404372,0,0,0,TRUE
Mthfd2,19,658,-5.11401626,-5.056687681,0,0,0,TRUE
Kit,124,3,5.36923381,5.426562389,0,0,0,TRUE
Metap1,62,1293,-4.382310249,-4.32498167,0,0,0,TRUE
Ergic3,292,43,2.763559804,2.820888383,0,0,0,TRUE
Uqcc1,343,921,-1.42499258,-1.367664001,0,0,0,TRUE
Ncoa2,106529,61,10.77014936,10.82747794,0,0,0,TRUE
Nr2c2,35,580,-4.050626073,-3.993297494,0,0,0,TRUE
Otx1,3,109,-5.183221824,-5.125893245,0,0,0,TRUE
1700037C18Rik,356,2063,-2.534794675,-2.477466096,0,0,0,TRUE
Tpr,70,461,-2.719339923,-2.662011345,0,0,0,TRUE
Kptn,101,3,5.073248982,5.130577561,0,0,0,TRUE
Clint1,1016,30,5.081794091,5.13912267,0,0,0,TRUE
Cdkal1,154,2740,-4.153173637,-4.095845058,0,0,0,TRUE
5430419D17Rik,77,250,-1.698997744,-1.641669165,0,0,0,TRUE
Ccdc159,22,483,-4.45644776,-4.399119181,0,0,0,TRUE
Mob1b,3,68,-4.502500341,-4.445171762,0,0,0,TRUE
Rps9,5234,52,6.653258491,6.71058707,0,0,0,TRUE
Cbfa2t3,822,3,8.098032083,8.155360662,0,0,0,TRUE
Pgrmc1,102,3,5.087462841,5.14479142,0,0,0,TRUE
Adamts4,1259,12777,-3.343198948,-3.285870369,0,0,0,TRUE
Rnf114,3,69,-4.523561956,-4.466233377,0,0,0,TRUE
C330007P06Rik,1165,263,2.14719525,2.204523829,0,0,0,TRUE
A530013C23Rik,164,3,5.772589504,5.829918083,0,0,0,TRUE
Pdk1,596,1306,-1.131770661,-1.074442082,0,0,0,TRUE
Atp7b,71,3,4.564784619,4.622113198,0,0,0,TRUE
Runx1t1,25,151,-2.59454855,-2.537219971,0,0,0,TRUE
Gtf2h1,6,88,-3.874469118,-3.817140539,0,0,0,TRUE
P4htm,944,2407,-1.350377377,-1.293048798,0,0,0,TRUE
Pknox1,22,325,-3.884864289,-3.82753571,0,0,0,TRUE
Gmnn,294,3,6.614709844,6.672038423,0,0,0,TRUE
Acot13,1957,3,9.34946554,9.406794119,0,0,0,TRUE
Kif5b,472,4786,-3.341961632,-3.284633053,0,0,0,TRUE
Saal1,77,3,4.68182404,4.739152619,0,0,0,TRUE
Cnp,89687,170504,-0.926834796,-0.869506217,0,0,0,TRUE
Ttc25,139,16,3.118941073,3.176269652,0,0,0,TRUE
Ctnnb1,664,2974,-2.163149501,-2.105820922,0,0,0,TRUE
Psmd2,9,884,-6.617977558,-6.560648979,0,0,0,TRUE
Vwa7,3,133,-5.470319935,-5.412991356,0,0,0,TRUE
Lsm2,33,175,-2.406816992,-2.349488414,0,0,0,TRUE
Mark3,240,17,3.819427754,3.876756333,0,0,0,TRUE
Gatad1,3942,43977,-3.479749509,-3.42242093,0,0,0,TRUE
M6pr,11,113,-3.360747344,-3.303418765,0,0,0,TRUE
Lrrc8a,16,211,-3.721099189,-3.66377061,0,0,0,TRUE
Homer1,2591,11,7.879861682,7.93719026,0,0,0,TRUE
Rad51c,133,8,4.055282436,4.112611014,0,0,0,TRUE
Cav1,13266,399,5.055200874,5.112529453,0,0,0,TRUE
Arpp19,3,166,-5.790076931,-5.732748352,0,0,0,TRUE
Ccdc124,3,146,-5.604862058,-5.547533479,0,0,0,TRUE
Cct4,11,3283,-8.221367416,-8.164038837,0,0,0,TRUE
Cpt1c,76,3,4.662965013,4.720293592,0,0,0,TRUE
Rhoa,1208,816,0.565979397,0.623307976,0,0,0,TRUE
Hnrnpa0,15765,26757,-0.7631912,-0.705862621,0,0,0,TRUE
Hnrnph1,364,2415,-2.730012834,-2.672684255,0,0,0,TRUE
Arid1a,140,31,2.175086707,2.232415286,0,0,0,TRUE
Rplp1,52,571,-3.456907217,-3.399578638,0,0,0,TRUE
Fzd3,154,2334,-3.921802305,-3.864473726,0,0,0,TRUE
1700109H08Rik,674,345,0.96615223,1.023480808,0,0,0,TRUE
Ubc,3,177,-5.882643049,-5.82531447,0,0,0,TRUE
Carhsp1,2865,7,8.676964502,8.734293081,0,0,0,TRUE
Elk3,160,30,2.415037499,2.472366078,0,0,0,TRUE
Herpud2,396,124,1.67516031,1.732488889,0,0,0,TRUE
Rdh13,196,3,6.029747343,6.087075922,0,0,0,TRUE
Arpc5,80,3,4.736965594,4.794294173,0,0,0,TRUE
Nfib,2314,8202,-1.825586879,-1.7682583,0,0,0,TRUE
Hipk1,865,9076,-3.391284571,-3.333955992,0,0,0,TRUE
Pdcl,1968,40281,-4.355297374,-4.297968795,0,0,0,TRUE
Nf2,111,470,-2.08210108,-2.024772501,0,0,0,TRUE
Dqx1,3,113,-5.235216462,-5.177887883,0,0,0,TRUE
Met,878,60,3.871186534,3.928515113,0,0,0,TRUE
Syn2,19,268,-3.818161677,-3.760833098,0,0,0,TRUE
Tnpo1,201,2721,-3.75886955,-3.701540971,0,0,0,TRUE
Rnmt,159,3,5.727920455,5.785249034,0,0,0,TRUE
Cdk9,200,3,6.058893689,6.116222268,0,0,0,TRUE
Mkl2,141,36,1.969626351,2.02695493,0,0,0,TRUE
Cbx5,1776,6997,-1.97810491,-1.920776331,0,0,0,TRUE
Mcu,3101,12,8.01355531,8.070883889,0,0,0,TRUE
Tfcp2,86,1001,-3.540961504,-3.483632925,0,0,0,TRUE
Ubp1,127,3,5.403722186,5.461050765,0,0,0,TRUE
Vps4b,295,6,5.619608644,5.676937222,0,0,0,TRUE
Rps25,1792,17073,-3.252074043,-3.194745464,0,0,0,TRUE
Nxf2,119,330,-1.471504451,-1.414175872,0,0,0,TRUE
Slc3a2,8001,150,5.73714592,5.794474499,0,0,0,TRUE
Spire2,132,19,2.796466606,2.853795185,0,0,0,TRUE
2610507B11Rik,281,3,6.549463819,6.606792398,0,0,0,TRUE
Rdm1,29,243,-3.066831508,-3.00950293,0,0,0,TRUE
Gosr1,3,68,-4.502500341,-4.445171762,0,0,0,TRUE
Eya4,28,239,-3.093511886,-3.036183307,0,0,0,TRUE
Apol7a,3,74,-4.624490865,-4.567162286,0,0,0,TRUE
