"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04080","Environmental Information Processing","Signaling molecules and interaction","mmu04080","Neuroactive ligand-receptor interaction - Mus musculus (house mouse)","58/1875","392/9574",0.147959183673469,0.755499319727891,-2.43928175131181,0.995027703016201,0.999999901028488,0.672088317708267,"Adora1/Adra1a/Adrb1/Adrb3/Aplnr/Avpr1a/Bdkrb1/C3ar1/Calcb/Chrm1/Chrnb1/Chrng/Cnr1/Edn1/Fpr2/Gabbr2/Gabra4/Gabra5/Gabrg2/Gabrg3/Gabrq/Gh/Glra1/Gm2663/Gm3867/Gphb5/Gria2/Gria3/Grid2/Grik1/Grik2/Grin1/Grin2b/Grm7/Grm8/Htr1d/Htr2a/Kng1/Kng2/Ltb4r2/Mtnr1a/Nmbr/Nmu/Oprk1/P2rx4/P2ry1/Paqr9/Pgrmc1/Plg/Qrfpr/Rxfp1/S1pr1/S1pr3/Sst/Tacr2/Thra/Thrb/Tshb",58
"mmu04514","Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecules - Mus musculus (house mouse)","22/1875","179/9574",0.122905027932961,0.627569459962756,-2.48216653289897,0.996621546567309,0.999999901028488,0.672088317708267,"Cd4/Cldn16/Cntn1/Cntn2/Cntnap2/Icos/Icosl/Itgal/Jam3/Lrrc4b/Lrrc4c/Nectin2/Nectin3/Neo1/Nlgn3/Nrcam/Ntng1/Ntng2/Pvr/Selplg/Slitrk3/Spn",22
"mmu04612","Organismal Systems","Immune system","mmu04612","Antigen processing and presentation - Mus musculus (house mouse)","8/1875","87/9574",0.0919540229885057,0.469529501915709,-2.45281005289296,0.997507658743711,0.999999901028488,0.672088317708267,"Cd4/Ciita/Ctsb/Hspa5/Hspa8/Nfya/Nfyc/Rfxank",8
"mmu05144","Human Diseases","Infectious disease: parasitic","mmu05144","Malaria - Mus musculus (house mouse)","6/1875","77/9574",0.0779220779220779,0.39788051948052,-2.61783534766851,0.998860065454564,0.999999901028488,0.672088317708267,"Il6/Itgal/Klrb1c/Lrp1/Met/Tgfb2",6
"mmu05034","Human Diseases","Substance dependence","mmu05034","Alcoholism - Mus musculus (house mouse)","24/1875","207/9574",0.115942028985507,0.592015458937198,-2.9284386212426,0.999300672724248,0.999999901028488,0.672088317708267,"Araf/Calm3/Camkk1/Creb3/Creb3l1/Creb3l2/Creb5/Gm3785/Gm47655/Gnai2/Gnao1/Gnb5/Gng12/Grin1/Grin2b/Hdac11/Hdac4/Kras/Ppp1ca/Raf1/Shc1/Slc18a1/Slc6a3/Sos1",24
"mmu04940","Human Diseases","Endocrine and metabolic disease","mmu04940","Type I diabetes mellitus - Mus musculus (house mouse)","4/1875","67/9574",0.0597014925373134,0.304843781094527,-2.81777020373535,0.999630597385793,0.999999901028488,0.672088317708267,"Gad2/Ica1/Il12b/Ptprn2",4
"mmu05150","Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)","10/1875","128/9574",0.078125,0.398916666666667,-3.37849442038357,0.999942992614768,0.999999901028488,0.672088317708267,"C1s2/C3ar1/Fcgr4/Fpr2/Itgal/Krt12/Krt31/Mbl2/Plg/Selplg",10
"mmu05330","Human Diseases","Immune disease","mmu05330","Allograft rejection - Mus musculus (house mouse)","2/1875","60/9574",0.0333333333333333,0.170204444444444,-3.18179841903293,0.99996856576458,0.999999901028488,0.672088317708267,"Il12b/Il4",2
"mmu05332","Human Diseases","Immune disease","mmu05332","Graft-versus-host disease - Mus musculus (house mouse)","1/1875","60/9574",0.0166666666666667,0.0851022222222222,-3.5081174916165,0.999998001019156,0.999999901028488,0.672088317708267,"Il6",1
"mmu03040","Genetic Information Processing","Transcription","mmu03040","Spliceosome - Mus musculus (house mouse)","25/1875","265/9574",0.0943396226415094,0.481710691823899,-4.22232032011804,0.999998436915697,0.999999901028488,0.672088317708267,"Bud31/Ddx23/Ddx46/Gm17748/Gm25137/Hnrnpa3/Hnrnpc/Hspa8/Lsm3/Lsm8/Magoh/Prpf38a/Prpf8/Rbm25/Sf3a3/Sf3b1/Snrnp27/Snrpb2/Snrpc/Snrpd1/Snrpd3/Snrpf/Srsf10/Thoc3/Wbp11",25
"mmu05320","Human Diseases","Immune disease","mmu05320","Autoimmune thyroid disease - Mus musculus (house mouse)","2/1875","76/9574",0.0263157894736842,0.134371929824561,-3.73877689600385,0.999998829143914,0.999999901028488,0.672088317708267,"Il4/Tshb",2
"mmu05322","Human Diseases","Immune disease","mmu05322","Systemic lupus erythematosus - Mus musculus (house mouse)","8/1875","150/9574",0.0533333333333333,0.272327111111111,-4.4327342060106,0.999999901028488,0.999999901028488,0.672088317708267,"Actn1/C1s2/C9/Fcgr4/Gm47655/Grin2b/Snrpd1/Snrpd3",8
