GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,Test.1.G,Test.2.G,Test.3.G,control.1.G,control.2.G,control.3.G,change,label,FDR
A930024N18Rik,27,3,3.169925001,3.290815171,8.92E-07,4.35E-06,4.31E-06,TRUE,9,17,1,1,1,1,Up,NA,4.47E-06
A930030B08Rik,42,3,3.807354922,3.928245092,3.85E-11,2.36E-10,2.35E-10,TRUE,1,40,1,1,1,1,Up,NA,2.42E-10
A930031H19Rik,20,3,2.736965594,2.857855764,8.09E-05,0.000341308,0.000338691,TRUE,1,18,1,1,1,1,Up,NA,0.000352133
A930032L01Rik,286,33,3.115477217,3.236367387,0,0,0,TRUE,69,20,197,1,1,31,Up,NA,0
A930037H05Rik,49,3,4.029747343,4.150637513,3.18E-13,2.11E-12,2.10E-12,TRUE,12,36,1,1,1,1,Up,NA,2.17E-12
A930038B10Rik,340,3,6.824428435,6.945318605,0,0,0,TRUE,5,334,1,1,1,1,Up,NA,0
AA413626,21,3,2.807354922,2.928245092,4.29E-05,0.000185542,0.000184137,TRUE,17,3,1,1,1,1,Up,NA,0.000191319
AA474408,194,3,6.014950341,6.135840511,0,0,0,TRUE,184,9,1,1,1,1,Up,NA,0
AA545190,80,3,4.736965594,4.857855764,0,0,0,TRUE,28,51,1,1,1,1,Up,NA,0
AA914427,642,3,7.741466986,7.862357156,0,0,0,TRUE,317,324,1,1,1,1,Up,NA,0
AA986860,1101,3,8.519636253,8.640526423,0,0,0,TRUE,70,1030,1,1,1,1,Up,NA,0
Aaas,217,18,3.591626231,3.712516401,0,0,0,TRUE,94,122,1,16,1,1,Up,NA,0
Aaed1,375,32,3.550746785,3.671636955,0,0,0,TRUE,365,9,1,30,1,1,Up,NA,0
Aamdc,135,3,5.491853096,5.612743266,0,0,0,TRUE,126,8,1,1,1,1,Up,NA,0
Aamp,26,3,3.115477217,3.236367387,1.72E-06,8.20E-06,8.16E-06,TRUE,24,1,1,1,1,1,Up,NA,8.46E-06
Aanat,26,3,3.115477217,3.236367387,1.72E-06,8.20E-06,8.16E-06,TRUE,24,1,1,1,1,1,Up,NA,8.46E-06
Aars,2792,3,9.862120725,9.983010895,0,0,0,TRUE,192,2599,1,1,1,1,Up,NA,0
Aasdhppt,117,3,5.285402219,5.406292389,0,0,0,TRUE,83,33,1,1,1,1,Up,NA,0
Aass,2289,295,2.955930603,3.076820773,0,0,0,TRUE,769,1519,1,293,1,1,Up,NA,0
Aatf,54,3,4.169925001,4.290815171,1.01E-14,7.05E-14,7.03E-14,TRUE,5,8,41,1,1,1,Up,NA,7.23E-14
AB041806,262,3,6.448460501,6.569350671,0,0,0,TRUE,1,260,1,1,1,1,Up,NA,0
AB124611,46,3,3.938599455,4.059489625,2.50E-12,1.61E-11,1.60E-11,TRUE,12,33,1,1,1,1,Up,NA,1.65E-11
Abca3,45,3,3.906890596,4.027780765,4.96E-12,3.15E-11,3.14E-11,TRUE,17,27,1,1,1,1,Up,NA,3.23E-11
Abca4,97,22,2.140481224,2.261371393,3.33E-14,2.29E-13,2.29E-13,TRUE,30,66,1,1,20,1,Up,NA,2.36E-13
Abca6,34,3,3.502500341,3.62339051,8.61E-09,4.71E-08,4.69E-08,TRUE,32,1,1,1,1,1,Up,NA,4.84E-08
Abcb10,123,6,4.357552005,4.478442174,0,0,0,TRUE,118,4,1,1,1,4,Up,NA,0
Abcb11,23,3,2.938599455,3.059489625,1.20E-05,5.39E-05,5.35E-05,TRUE,7,15,1,1,1,1,Up,NA,5.55E-05
Abcb1b,191,3,5.992466327,6.113356497,0,0,0,TRUE,45,50,96,1,1,1,Up,NA,0
Abcb5,24,3,3,3.12089017,6.28E-06,2.89E-05,2.87E-05,TRUE,11,12,1,1,1,1,Up,NA,2.98E-05
Abcb7,33,3,3.459431619,3.580321788,1.68E-08,9.06E-08,9.02E-08,TRUE,31,1,1,1,1,1,Up,NA,9.32E-08
Abcb8,169,33,2.356485317,2.477375487,0,0,0,TRUE,138,30,1,1,31,1,Up,NA,0
Abcc1,141,11,3.680119734,3.801009903,0,0,0,TRUE,79,61,1,9,1,1,Up,NA,0
Abcc2,27,3,3.169925001,3.290815171,8.92E-07,4.35E-06,4.31E-06,TRUE,21,5,1,1,1,1,Up,NA,4.47E-06
Abcc3,169,3,5.815916936,5.936807105,0,0,0,TRUE,55,113,1,1,1,1,Up,NA,0
Abcc8,23,3,2.938599455,3.059489625,1.20E-05,5.39E-05,5.35E-05,TRUE,5,8,10,1,1,1,Up,NA,5.55E-05
Abcc9,74,3,4.624490865,4.745381035,0,0,0,TRUE,58,15,1,1,1,1,Up,NA,0
Abcd3,39,3,3.700439718,3.821329888,2.96E-10,1.74E-09,1.73E-09,TRUE,21,17,1,1,1,1,Up,NA,1.79E-09
Abcd4,316,8,5.303780748,5.424670918,0,0,0,TRUE,10,305,1,1,1,6,Up,NA,0
