id,name,Test-1+G,Test-1-G,Test-2+G,Test-2-G,Test-3+G,Test-3-G,control-1+G,control-1-G,control-2+G,control-2-G,control-3+G,control-3-G
ENSMUSG00000106334,Gm43549,0,0,0,8,0,0,0,0,0,0,0,0
ENSMUSG00000106335,Gm20223,0,0,0,0,0,0,0,5,0,0,0,0
ENSMUSG00000106336,Mir129b,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106337,Gm42478,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106338,Gm43645,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106339,Gm43489,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106340,Mir290b,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106341,Gm43330,0,0,5,0,0,0,0,0,0,0,0,0
ENSMUSG00000106342,Gm42891,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106343,Gm18430,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106344,Mir1892,1,0,1,0,0,0,1,0,0,0,0,0
ENSMUSG00000106345,Gm42459,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106346,Gtpbp4-ps6,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106347,Mir5615-1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106348,Mir1a-2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106349,Gm44387,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106350,Gm4869,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106351,Gm8896,0,0,10,0,0,0,0,0,0,0,0,0
ENSMUSG00000106352,5033403H07Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106353,Gm43726,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106354,Gm42607,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106355,n-TSaga9,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106356,Gm42438,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106357,Gm8013,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106358,Gm7047,80,0,242,0,0,0,31,73,2017,0,0,0
ENSMUSG00000106359,4930554G22Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106360,Gm44338,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106361,Gm35066,23,0,14,0,0,0,12,0,0,0,0,0
ENSMUSG00000106362,Gm47279,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106363,Gm43402,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106364,Gm42994,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106365,Gm43568,0,0,4,0,0,0,0,0,0,0,0,0
