GeneNames,value1,value2,log2(Fold_change),log2(Fold_change) normalized,p-value,q-value(Benjamini et al. 1995),q-value(Storey et al. 2003),Signature(p-value < 0.001)
Ugp2,3623,6227,-0.781352473,-0.902242643,0,0,0,TRUE
Trmt1,3,86,-4.841302254,-4.962192424,0,0,0,TRUE
Nfix,968,110,3.137503524,3.016613354,0,0,0,TRUE
Vwf,13,709,-5.769202099,-5.890092269,0,0,0,TRUE
Gria3,6,81,-3.754887502,-3.875777672,0,0,0,TRUE
Sipa1l2,9,81,-3.169925001,-3.290815171,0,0,0,TRUE
Blvra,28,156,-2.478047297,-2.598937467,0,0,0,TRUE
Ssr4,3,249,-6.375039431,-6.495929601,0,0,0,TRUE
Kmt2a,7,295,-5.397216222,-5.518106392,0,0,0,TRUE
Spag5,3,124,-5.36923381,-5.490123979,0,0,0,TRUE
Sdf2,3,202,-6.073248982,-6.194139152,0,0,0,TRUE
Acp2,3,92,-4.938599455,-5.059489625,0,0,0,TRUE
Celf2,251,749,-1.577278355,-1.698168524,0,0,0,TRUE
Paxip1,13756,2118,2.699286527,2.578396357,0,0,0,TRUE
Rmnd5a,27287,8243,1.72697239,1.60608222,0,0,0,TRUE
Lmf1,3,148,-5.624490865,-5.745381035,0,0,0,TRUE
Tm9sf1,7,90,-3.684498174,-3.805388344,0,0,0,TRUE
Ncan,36,1548,-5.426264755,-5.547154924,0,0,0,TRUE
Braf,8761,6938,0.336575711,0.215685541,0,0,0,TRUE
Snrpd1,3,697,-7.860052345,-7.980942515,0,0,0,TRUE
Tiam1,3,99,-5.044394119,-5.165284289,0,0,0,TRUE
Zfp40,3,281,-6.549463819,-6.670353989,0,0,0,TRUE
Alkbh7,3,63,-4.392317423,-4.513207592,0,0,0,TRUE
Naa20,19,126,-2.72935241,-2.85024258,0,0,0,TRUE
Fkbp7,39,355,-3.186272996,-3.307163165,0,0,0,TRUE
Plekha3,19,11159,-9.197992614,-9.318882783,0,0,0,TRUE
Baz1b,71,201,-1.501304572,-1.622194741,0,0,0,TRUE
Pdxk-ps,62,209,-1.753162822,-1.874052991,0,0,0,TRUE
Flii,5,476,-6.572889668,-6.693779838,0,0,0,TRUE
Atg4d,3,126,-5.392317423,-5.513207592,0,0,0,TRUE
Tmem39a,3,152,-5.662965013,-5.783855182,0,0,0,TRUE
Timmdc1,3,93,-4.95419631,-5.07508648,0,0,0,TRUE
Mcm2,3,181,-5.914883386,-6.035773556,0,0,0,TRUE
Il17ra,3,186,-5.95419631,-6.07508648,0,0,0,TRUE
Ap2a2,666,6813,-3.354696124,-3.475586294,0,0,0,TRUE
Med25,4733,253,4.225545632,4.104655462,0,0,0,TRUE
Cdkn1b,23,2955,-7.005380459,-7.126270629,0,0,0,TRUE
Klf4,2706,4206,-0.636287011,-0.75717718,0,0,0,TRUE
Hmgn2,3225,1892,0.769387072,0.648496902,0,0,0,TRUE
Cyp2c29,129,393,-1.607158247,-1.728048417,0,0,0,TRUE
Atp5d,3,63,-4.392317423,-4.513207592,0,0,0,TRUE
Pafah1b2,2369,1108,1.096320317,0.975430147,0,0,0,TRUE
Cnot11,11,162,-3.880418384,-4.001308554,0,0,0,TRUE
Zfp959,175,672,-1.941106311,-2.061996481,0,0,0,TRUE
Ranbp2,13,167,-3.683264574,-3.804154744,0,0,0,TRUE
Dlgap1,14701,1614,3.187201811,3.066311641,0,0,0,TRUE
Cacnb3,3,194,-6.014950341,-6.135840511,0,0,0,TRUE
Ddx23,3,119,-5.309855263,-5.430745432,0,0,0,TRUE
Etv3,12924,8476,0.608597163,0.487706993,0,0,0,TRUE
Prkcsh,6197,17159,-1.469323604,-1.590213774,0,0,0,TRUE
Rps11,406,7,5.857980995,5.737090825,0,0,0,TRUE
Pex19,10334,540,4.258295571,4.137405402,0,0,0,TRUE
Phyhip,3,62,-4.36923381,-4.490123979,0,0,0,TRUE
Dusp3,26188,5103,2.359488337,2.238598168,0,0,0,TRUE
As3mt,21,176,-3.067114196,-3.188004366,0,0,0,TRUE
Crtc1,23,4575,-7.635994072,-7.756884242,0,0,0,TRUE
Cp,3,116,-5.273018494,-5.393908664,0,0,0,TRUE
Crot,11,131,-3.573991383,-3.694881553,0,0,0,TRUE
Man1a,71,231,-1.702001922,-1.822892092,0,0,0,TRUE
Brd8,2376,308,2.94753258,2.82664241,0,0,0,TRUE
Calr,13196,9774,0.433079673,0.312189504,0,0,0,TRUE
Nfat5,19,448,-4.559427409,-4.680317578,0,0,0,TRUE
Nqo1,551,15,5.199017913,5.078127743,0,0,0,TRUE
Il7r,3,840,-8.129283017,-8.250173187,0,0,0,TRUE
Tfam,3,75,-4.64385619,-4.764746359,0,0,0,TRUE
Mmd,7,170,-4.602036014,-4.722926184,0,0,0,TRUE
Hlf,150,19,2.980891177,2.860001007,0,0,0,TRUE
Rpl8,3,115,-5.26052755,-5.38141772,0,0,0,TRUE
Grm3,390,80,2.285402219,2.164512049,0,0,0,TRUE
Ssbp2,19,666,-5.131450854,-5.252341023,0,0,0,TRUE
Stat3,53,1018,-4.263601392,-4.384491561,0,0,0,TRUE
Cavin1,3,90,-4.906890596,-5.027780765,0,0,0,TRUE
Dnaja3,2730,5664,-1.052920314,-1.173810484,0,0,0,TRUE
Cdip1,542,203,1.416813124,1.295922954,0,0,0,TRUE
Map3k20,28533,7290,1.968640722,1.847750553,0,0,0,TRUE
Cwc15,11604,27,8.747447078,8.626556908,0,0,0,TRUE
Cacna1e,16,2785,-7.443461612,-7.564351782,0,0,0,TRUE
Etv1,1173,563,1.058996186,0.938106016,0,0,0,TRUE
Ikbkg,10,441,-5.462706751,-5.58359692,0,0,0,TRUE
Ptpn6,219,19,3.526859546,3.405969376,0,0,0,TRUE
Atp6v1f,3,67,-4.48112669,-4.602016859,0,0,0,TRUE
Clcn5,8,901,-6.815383296,-6.936273466,0,0,0,TRUE
Clcn3,12235,304,5.330798968,5.209908798,0,0,0,TRUE
Hif3a,3,98,-5.029747343,-5.150637513,0,0,0,TRUE
Gpx5,7,89,-3.668378509,-3.789268679,0,0,0,TRUE
Pde1c,4932,233,4.40377094,4.28288077,0,0,0,TRUE
Utp20,10,109,-3.44625623,-3.5671464,0,0,0,TRUE
9330159F19Rik,15,107,-2.834576391,-2.95546656,0,0,0,TRUE
Cul3,3,93,-4.95419631,-5.07508648,0,0,0,TRUE
Large1,3,156,-5.700439718,-5.821329888,0,0,0,TRUE
Col26a1,3,70,-4.544320516,-4.665210686,0,0,0,TRUE
Bid,3,81,-4.754887502,-4.875777672,0,0,0,TRUE
Ppp1cc,444,23,4.27085391,4.149963741,0,0,0,TRUE
Dnajb11,30,128,-2.093109404,-2.213999574,0,0,0,TRUE
Tbccd1,661,13,5.668066743,5.547176574,0,0,0,TRUE
Zfp324,3,317,-6.723376529,-6.844266699,0,0,0,TRUE
Coro1c,3,593,-7.626925794,-7.747815964,0,0,0,TRUE
Mettl17,3,442,-7.202940059,-7.323830228,0,0,0,TRUE
Mcoln1,16,423,-4.724513853,-4.845404023,0,0,0,TRUE
Arhgef18,8,90,-3.491853096,-3.612743266,0,0,0,TRUE
Pkn2,474,43,3.462478494,3.341588324,0,0,0,TRUE
Stxbp2,3,366,-6.930737338,-7.051627507,0,0,0,TRUE
Pcp2,3,135,-5.491853096,-5.612743266,0,0,0,TRUE
Sgce,12,7013,-9.190853512,-9.311743682,0,0,0,TRUE
Wwox,3,277,-6.528779665,-6.649669835,0,0,0,TRUE
Slbp,503,2817,-2.485529259,-2.606419428,0,0,0,TRUE
Cnn2,3,79,-4.718818247,-4.839708417,0,0,0,TRUE
Abca13,693,301,1.203091865,1.082201696,0,0,0,TRUE
Hdac9,141,347,-1.2992405,-1.42013067,0,0,0,TRUE
Rab11a,3,143,-5.574908836,-5.695799006,0,0,0,TRUE
Eif2b2,397,68,2.545532356,2.424642186,0,0,0,TRUE
Dlst,15,528,-5.137503524,-5.258393693,0,0,0,TRUE
Ulk2,72,2795,-5.278707566,-5.399597736,0,0,0,TRUE
Chmp2b,3,165,-5.781359714,-5.902249883,0,0,0,TRUE
Srpk1,15,1635,-6.768184325,-6.889074494,0,0,0,TRUE
Lbr,2035,8170,-2.005307284,-2.126197454,0,0,0,TRUE
Bcan,3,161,-5.745954377,-5.866844547,0,0,0,TRUE
Pias4,3,62,-4.36923381,-4.490123979,0,0,0,TRUE
Zp3,301,5202,-4.111231007,-4.232121177,0,0,0,TRUE
Prkacb,143,754,-2.398549376,-2.519439546,0,0,0,TRUE
Chd5,68,230,-1.75802721,-1.878917379,0,0,0,TRUE
Pex5,3,573,-7.577428828,-7.698318998,0,0,0,TRUE
Slc1a2,8346,2804,1.573598571,1.452708402,0,0,0,TRUE
Man2b1,3,80,-4.736965594,-4.857855764,0,0,0,TRUE
Prdx2,5863,123,5.574908836,5.454018666,0,0,0,TRUE
Plekha8,15,340,-4.502500341,-4.62339051,0,0,0,TRUE
Ufd1,3,258,-6.426264755,-6.547154924,0,0,0,TRUE
Zfp287,3,101,-5.073248982,-5.194139152,0,0,0,TRUE
Prlr,3,228,-6.247927513,-6.368817683,0,0,0,TRUE
Ubqln1,240,70,1.777607579,1.656717409,0,0,0,TRUE
Cadm3,541,170,1.670093848,1.549203678,0,0,0,TRUE
Txn2,2116,150,3.818305222,3.697415052,0,0,0,TRUE
Slc1a3,1414,725,0.96372922,0.84283905,0,0,0,TRUE
Il5ra,268,9,4.896164189,4.775274019,0,0,0,TRUE
Msh6,2095,1019,1.039796192,0.918906023,0,0,0,TRUE
Fbxo11,10192,6114,0.737248725,0.616358556,0,0,0,TRUE
Mprip,51,446,-3.128474558,-3.249364728,0,0,0,TRUE
Prkaca,1263,165,2.93631671,2.81542654,0,0,0,TRUE
Dnajb1,3,78,-4.700439718,-4.821329888,0,0,0,TRUE
Usp40,26405,11091,1.251421692,1.130531522,0,0,0,TRUE
Celf1,43,187,-2.120629705,-2.241519875,0,0,0,TRUE
Igf1r,115,21281,-7.531788274,-7.652678443,0,0,0,TRUE
Insr,18,758,-5.396129037,-5.517019206,0,0,0,TRUE
Adcy9,3,101,-5.073248982,-5.194139152,0,0,0,TRUE
Mef2c,111,3089,-4.798508289,-4.919398459,0,0,0,TRUE
Ctr9,11,173,-3.975196609,-4.096086779,0,0,0,TRUE
Eif4g2,3,315,-6.714245518,-6.835135687,0,0,0,TRUE
Mrvi1,3,75,-4.64385619,-4.764746359,0,0,0,TRUE
Pcyt1a,3,158,-5.718818247,-5.839708417,0,0,0,TRUE
Kit,3,134,-5.48112669,-5.602016859,0,0,0,TRUE
Nr1i3,3,76,-4.662965013,-4.783855182,0,0,0,TRUE
Pan2,69,1666,-4.593648229,-4.714538398,0,0,0,TRUE
Sh2d1a,49,687,-3.809456445,-3.930346614,0,0,0,TRUE
Ctcf,3,244,-6.345774837,-6.466665007,0,0,0,TRUE
Psmb4,5,583,-6.865423978,-6.986314148,0,0,0,TRUE
Gata6,3,168,-5.807354922,-5.928245092,0,0,0,TRUE
Apc,67,1018,-3.925432656,-4.046322825,0,0,0,TRUE
Reep5,3,67,-4.48112669,-4.602016859,0,0,0,TRUE
Uqcc1,921,200,2.203201156,2.082310987,0,0,0,TRUE
Ncoa2,61,8030,-7.040446935,-7.161337105,0,0,0,TRUE
Otx1,109,3,5.183221824,5.062331654,0,0,0,TRUE
Trap1,3,555,-7.531381461,-7.65227163,0,0,0,TRUE
1700037C18Rik,2063,184,3.48696615,3.36607598,0,0,0,TRUE
BC003331,3,75,-4.64385619,-4.764746359,0,0,0,TRUE
Dhx34,3,71,-4.564784619,-4.685674788,0,0,0,TRUE
Kptn,3,66,-4.459431619,-4.580321788,0,0,0,TRUE
Snf8,3,352,-6.874469118,-6.995359288,0,0,0,TRUE
Clint1,30,1179,-5.296457407,-5.417347577,0,0,0,TRUE
Cdkal1,2740,411,2.736965594,2.616075424,0,0,0,TRUE
Fblim1,22,148,-2.750021747,-2.870911917,0,0,0,TRUE
Ccdc159,483,134,1.849790188,1.728900019,0,0,0,TRUE
Tep1,26,211,-3.020659471,-3.14154964,0,0,0,TRUE
Ttc5,3,181,-5.914883386,-6.035773556,0,0,0,TRUE
Tmbim1,3,127,-5.403722186,-5.524612356,0,0,0,TRUE
Arpc2,27,186,-2.784271309,-2.905161479,0,0,0,TRUE
Rps9,52,219,-2.074347341,-2.195237511,0,0,0,TRUE
Crip2,3,383,-6.996238081,-7.117128251,0,0,0,TRUE
Cbfa2t3,3,2742,-9.836050355,-9.956940525,0,0,0,TRUE
Adamts4,12777,30923,-1.275131154,-1.396021323,0,0,0,TRUE
Pfdn2,5,75,-3.906890596,-4.027780765,0,0,0,TRUE
C330007P06Rik,263,1317,-2.324120641,-2.445010811,0,0,0,TRUE
Atp7b,3,147,-5.614709844,-5.735600014,0,0,0,TRUE
Runx1t1,151,761,-2.333347904,-2.454238074,0,0,0,TRUE
Gtf2h1,88,7,3.652076697,3.531186527,0,0,0,TRUE
P4htm,2407,20259,-3.073254916,-3.194145086,0,0,0,TRUE
Cdc42,3,79,-4.718818247,-4.839708417,0,0,0,TRUE
Pknox1,325,2189,-2.751760331,-2.872650501,0,0,0,TRUE
Gmnn,3,383,-6.996238081,-7.117128251,0,0,0,TRUE
Acot13,3,98,-5.029747343,-5.150637513,0,0,0,TRUE
B4galnt1,3,129,-5.426264755,-5.547154924,0,0,0,TRUE
Mettl1,3,97,-5.014950341,-5.135840511,0,0,0,TRUE
Kif5b,4786,948,2.335861433,2.214971263,0,0,0,TRUE
Cnp,170504,11439,3.897772743,3.776882573,0,0,0,TRUE
Ttc25,16,600,-5.22881869,-5.34970886,0,0,0,TRUE
Sulf2,87,281,-1.691482824,-1.812372994,0,0,0,TRUE
Sod2,348,652,-0.905784658,-1.026674828,0,0,0,TRUE
Ctnnb1,2974,331,3.167501525,3.046611356,0,0,0,TRUE
