GeneNames,value1,value2,log2(Fold_change),log2(Fold_change) normalized,p-value,q-value(Benjamini et al. 1995),q-value(Storey et al. 2003),Signature(p-value < 0.001)
Ltbp1,46,940,-4.352954991,-4.316205336,0,0,0,TRUE
Ugp2,54415,6227,3.127395214,3.164144869,0,0,0,TRUE
Trmt1,3,86,-4.841302254,-4.804552599,0,0,0,TRUE
Vwf,298,709,-1.250473297,-1.213723642,0,0,0,TRUE
Siae,95,303,-1.673318375,-1.63656872,0,0,0,TRUE
Taco1,3,160,-5.736965594,-5.700215939,0,0,0,TRUE
Gria3,3,81,-4.754887502,-4.718137847,0,0,0,TRUE
Sipa1l2,3,81,-4.754887502,-4.718137847,0,0,0,TRUE
Blvra,9,156,-4.115477217,-4.078727563,0,0,0,TRUE
Ssr4,3,249,-6.375039431,-6.338289777,0,0,0,TRUE
Bcap31,3,93,-4.95419631,-4.917446656,0,0,0,TRUE
Kmt2a,3,295,-6.619608644,-6.582858989,0,0,0,TRUE
Ift46,3,200,-6.058893689,-6.022144034,0,0,0,TRUE
Supt6,42,340,-3.017073513,-2.980323859,0,0,0,TRUE
Sdf2,3,202,-6.073248982,-6.036499327,0,0,0,TRUE
Acp2,3,92,-4.938599455,-4.901849801,0,0,0,TRUE
Celf2,127,749,-2.560137222,-2.523387567,0,0,0,TRUE
Sf3a1,10,275,-4.781359714,-4.744610059,0,0,0,TRUE
Paxip1,11,2118,-7.589055255,-7.552305601,0,0,0,TRUE
Rmnd5a,3,8243,-11.42399128,-11.38724162,0,0,0,TRUE
Lmf1,3,148,-5.624490865,-5.58774121,0,0,0,TRUE
Cd320,201,12,4.06608919,4.102838845,0,0,0,TRUE
Tm9sf1,3,90,-4.906890596,-4.870140941,0,0,0,TRUE
Ncan,275,1548,-2.492901948,-2.456152293,0,0,0,TRUE
Braf,22562,6938,1.701303215,1.73805287,0,0,0,TRUE
Ndufb2,17463,1553,3.491171689,3.527921343,0,0,0,TRUE
Hltf,11,220,-4.321928095,-4.28517844,0,0,0,TRUE
Snrpd1,3,697,-7.860052345,-7.82330269,0,0,0,TRUE
Tiam1,3,99,-5.044394119,-5.007644465,0,0,0,TRUE
Zfp40,3,281,-6.549463819,-6.512714165,0,0,0,TRUE
Cse1l,3,79,-4.718818247,-4.682068593,0,0,0,TRUE
Fkbp7,3,355,-6.886712714,-6.849963059,0,0,0,TRUE
Plekha3,70,11159,-7.31663711,-7.279887455,0,0,0,TRUE
Baz1b,41,201,-2.293499687,-2.256750032,0,0,0,TRUE
Pdxk-ps,516,209,1.303868123,1.340617778,0,0,0,TRUE
Flii,8,476,-5.894817763,-5.858068109,0,0,0,TRUE
Atg4d,3,126,-5.392317423,-5.355567768,0,0,0,TRUE
Tmem39a,3,152,-5.662965013,-5.626215358,0,0,0,TRUE
Mcm2,3,181,-5.914883386,-5.878133732,0,0,0,TRUE
Il17ra,3,186,-5.95419631,-5.917446656,0,0,0,TRUE
Lamb1,25,321,-3.682573297,-3.645823643,0,0,0,TRUE
Ap2a2,154,6813,-5.467287951,-5.430538296,0,0,0,TRUE
Cdkn1b,77,2955,-5.262155874,-5.22540622,0,0,0,TRUE
Klf4,154,4206,-4.771446594,-4.734696939,0,0,0,TRUE
Hmgn2,97,1892,-4.285783531,-4.249033876,0,0,0,TRUE
Fam32a,340,29,3.551409941,3.588159596,0,0,0,TRUE
Cyp2c29,3,393,-7.033423002,-6.996673347,0,0,0,TRUE
Cdk12,10,124,-3.632268215,-3.595518561,0,0,0,TRUE
Pafah1b2,14,1108,-6.306387244,-6.269637589,0,0,0,TRUE
Ranbp2,3,167,-5.798741792,-5.761992137,0,0,0,TRUE
Abcf3,3,115,-5.26052755,-5.223777895,0,0,0,TRUE
Dlgap1,165,1614,-3.290102649,-3.253352994,0,0,0,TRUE
Glg1,26,1204,-5.533179959,-5.496430304,0,0,0,TRUE
Atp8b3,12,128,-3.415037499,-3.378287844,0,0,0,TRUE
Cacnb3,3,194,-6.014950341,-5.978200687,0,0,0,TRUE
Ddx23,3,119,-5.309855263,-5.273105608,0,0,0,TRUE
Etv3,3,8476,-11.46420537,-11.42745572,0,0,0,TRUE
Prkcsh,13888,17159,-0.305126624,-0.26837697,0,0,0,TRUE
St8sia6,1823,42,5.439781423,5.476531078,0,0,0,TRUE
Timm50,200,16,3.64385619,3.680605845,0,0,0,TRUE
Dusp3,502,5103,-3.345586372,-3.308836718,0,0,0,TRUE
Fosb,27,685,-4.665072676,-4.628323021,0,0,0,TRUE
Crtc1,3,4575,-10.57459353,-10.53784387,0,0,0,TRUE
Man1a,3,231,-6.266786541,-6.230036886,0,0,0,TRUE
Brd8,622,308,1.013984229,1.050733884,0,0,0,TRUE
Farsa,8,3010,-8.555547772,-8.518798117,0,0,0,TRUE
Calr,936,9774,-3.38436867,-3.347619015,0,0,0,TRUE
Nfat5,44,448,-3.347923303,-3.311173649,0,0,0,TRUE
Mmd,3,170,-5.824428435,-5.787678781,0,0,0,TRUE
Rpl8,3,115,-5.26052755,-5.223777895,0,0,0,TRUE
Ssbp2,3,666,-7.794415866,-7.757666212,0,0,0,TRUE
Stat3,3,1018,-8.406559345,-8.369809691,0,0,0,TRUE
Akt2,3,77,-4.68182404,-4.645074385,0,0,0,TRUE
Dnaja3,29432,5664,2.377492411,2.414242066,0,0,0,TRUE
Hmox2,3,514,-7.420662048,-7.383912394,0,0,0,TRUE
Cdip1,3,203,-6.080373416,-6.043623762,0,0,0,TRUE
Map3k20,192,7290,-5.246740598,-5.209990944,0,0,0,TRUE
Cacna1e,3,2785,-9.858499112,-9.821749457,0,0,0,TRUE
Etv1,46,563,-3.613429156,-3.576679501,0,0,0,TRUE
Psap,3,83,-4.790076931,-4.753327276,0,0,0,TRUE
Ikbkg,3,441,-7.199672345,-7.16292269,0,0,0,TRUE
Ptpn6,202,19,3.410283969,3.447033624,0,0,0,TRUE
Eno2,224,7,5,5.036749655,0,0,0,TRUE
Atp6v1f,3,67,-4.48112669,-4.444377035,0,0,0,TRUE
Clcn5,3,901,-8.230420795,-8.19367114,0,0,0,TRUE
Clcn3,623,304,1.03516084,1.071910494,0,0,0,TRUE
Hif3a,7,98,-3.807354922,-3.770605267,0,0,0,TRUE
Pde1c,14,233,-4.056831223,-4.020081568,0,0,0,TRUE
9330159F19Rik,3,107,-5.156504486,-5.119754831,0,0,0,TRUE
Cul3,3,93,-4.95419631,-4.917446656,0,0,0,TRUE
Large1,2193,156,3.813287878,3.850037533,0,0,0,TRUE
Col26a1,3,70,-4.544320516,-4.507570861,0,0,0,TRUE
Bid,3,81,-4.754887502,-4.718137847,0,0,0,TRUE
Dnajb11,3,128,-5.415037499,-5.378287844,0,0,0,TRUE
Zfp324,3,317,-6.723376529,-6.686626875,0,0,0,TRUE
Coro1c,3,593,-7.626925794,-7.590176139,0,0,0,TRUE
Tax1bp1,3,72,-4.584962501,-4.548212846,0,0,0,TRUE
Ndrg2,34,230,-2.75802721,-2.721277555,0,0,0,TRUE
Mettl17,3,442,-7.202940059,-7.166190404,0,0,0,TRUE
Mcoln1,17,423,-4.637051012,-4.600301357,0,0,0,TRUE
Arhgef18,3,90,-4.906890596,-4.870140941,0,0,0,TRUE
Stxbp2,3,366,-6.930737338,-6.893987683,0,0,0,TRUE
Pcp2,3,135,-5.491853096,-5.455103442,0,0,0,TRUE
Sgce,50,7013,-7.131959823,-7.095210168,0,0,0,TRUE
Wwox,3,277,-6.528779665,-6.492030011,0,0,0,TRUE
Slbp,1899,2817,-0.568919658,-0.532170003,0,0,0,TRUE
Cnn2,3,79,-4.718818247,-4.682068593,0,0,0,TRUE
Abca13,3,301,-6.648657176,-6.611907521,0,0,0,TRUE
Hdac9,11,347,-4.979360234,-4.942610579,0,0,0,TRUE
Cd244,514,138,1.897100092,1.933849747,0,0,0,TRUE
Rab11a,3,143,-5.574908836,-5.538159181,0,0,0,TRUE
Eif2b2,3,68,-4.502500341,-4.465750686,0,0,0,TRUE
Dlst,3,528,-7.459431619,-7.422681964,0,0,0,TRUE
Ulk2,105,2795,-4.73438705,-4.697637395,0,0,0,TRUE
Chmp2b,3,165,-5.781359714,-5.744610059,0,0,0,TRUE
Srpk1,3189,1635,0.963813462,1.000563117,0,0,0,TRUE
Lbr,35,8170,-7.866837346,-7.830087691,0,0,0,TRUE
Bcan,3,161,-5.745954377,-5.709204723,0,0,0,TRUE
Rrnad1,39,232,-2.572578776,-2.535829121,0,0,0,TRUE
Nmrk2,433,3,7.173260714,7.210010369,0,0,0,TRUE
Zp3,3,5202,-10.75988818,-10.72313853,0,0,0,TRUE
Rasa4,3,68,-4.502500341,-4.465750686,0,0,0,TRUE
Hnrnpa2b1,44,218,-2.308752706,-2.272003051,0,0,0,TRUE
Fxyd4,3,213,-6.14974712,-6.112997465,0,0,0,TRUE
Pex5,10,573,-5.840463234,-5.803713579,0,0,0,TRUE
Slc1a2,286,2804,-3.293399297,-3.256649642,0,0,0,TRUE
Wdr1,275,99,1.473931188,1.510680843,0,0,0,TRUE
Man2b1,3,80,-4.736965594,-4.700215939,0,0,0,TRUE
Prdx2,15,123,-3.03562391,-2.998874255,0,0,0,TRUE
Ripk4,3,200,-6.058893689,-6.022144034,0,0,0,TRUE
Ufd1,9,258,-4.841302254,-4.804552599,0,0,0,TRUE
Zfp287,3,101,-5.073248982,-5.036499327,0,0,0,TRUE
Prlr,1912,228,3.067976794,3.104726449,0,0,0,TRUE
Ubqln1,3,70,-4.544320516,-4.507570861,0,0,0,TRUE
Cadm3,3,170,-5.824428435,-5.787678781,0,0,0,TRUE
Slc1a3,299,725,-1.277835511,-1.241085856,0,0,0,TRUE
Msh6,3,1019,-8.407975835,-8.371226181,0,0,0,TRUE
Fbxo11,19,6114,-8.329973323,-8.293223669,0,0,0,TRUE
Nid1,170,23,2.88582898,2.922578635,0,0,0,TRUE
Mprip,3,446,-7.215937399,-7.179187744,0,0,0,TRUE
Prkaca,29,165,-2.508341219,-2.471591564,0,0,0,TRUE
Dnajb1,3,78,-4.700439718,-4.663690063,0,0,0,TRUE
