"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016835","GO:0016835","carbon-oxygen lyase activity","16/4410","78/28396",0.205128205128205,1.32082097796384,1.21657836116794,0.145006046309018,0.276170606379448,0.18339680179115,"Aloxe3/Car12/Cyp1b1/Echdc3/Echs1/Eno1b/Hacd3/Hadha/Hmga1/Hmga1b/Ireb2/Polb/Poll/Polq/Tpi1/Xrcc5",16
"GO:0017022","GO:0017022","myosin binding","16/4410","78/28396",0.205128205128205,1.32082097796384,1.21657836116794,0.145006046309018,0.276170606379448,0.18339680179115,"Actc1/Axl/Coro1a/Larp6/Mlph/Mybpc1/Myl9/Mylk2/Nphs1/Pdlim2/Rab10/Rab11a/Rab3c/Snap25/Stxbp5l/Trak1",16
"GO:0019213","GO:0019213","deacetylase activity","8/4410","34/28396",0.235294117647059,1.51505935707616,1.28851544942175,0.146602137852792,0.278788029169379,0.185134955517579,"Hdac11/Hdac4/Mta2/Ndst3/Sirt1/Sirt2/Sirt6/Sirt7",8
"GO:0016874","GO:0016874","ligase activity","31/4410","165/28396",0.187878787878788,1.20975194118051,1.15863367385734,0.146986910725245,0.279097502691289,0.185340467809062,"Acsf3/Acsl3/Acsl4/Acsl6/Acss3/Carns1/Dip2a/Gatc/Gclm/Hlcs/Ifnar1/Lig4/Lrrc47/Mthfd1l/Paics/Rars2/Rtca/Rtcb/Sae1/Slc27a1/Slc27a2/Sucla2/Tars2/Ttl/Ttll5/Uba1/Uba1y/Uba3/Uba5/Wars2/Yars2",31
"GO:0005416","GO:0005416","amino acid:monoatomic cation symporter activity","7/4410","29/28396",0.241379310344828,1.55424192665572,1.28042158537645,0.152318763659819,0.288350430603001,0.191485065919843,"Slc36a1/Slc36a2/Slc38a4/Slc6a1/Slc6a20a/Slc6a20b/Slc6a9",7
"GO:0140318","GO:0140318","protein transporter activity","7/4410","29/28396",0.241379310344828,1.55424192665572,1.28042158537645,0.152318763659819,0.288350430603001,0.191485065919843,"Bloc1s3/Igf1r/Lmbrd1/Sec61g/Tomm20/Tomm40l/Tomm70a",7
"GO:0020037","GO:0020037","heme binding","31/4410","166/28396",0.186746987951807,1.20246427888424,1.12178165241014,0.155151296632917,0.291798845166592,0.193775056916725,"Adgb/Cyb5d2/Cycs/Cyct/Cyp11b1/Cyp19a1/Cyp1b1/Cyp2b23/Cyp2c23/Cyp2f2/Cyp2g1/Cyp2j9/Cyp2t4/Cyp39a1/Cyp3a13/Cyp3a41b/Cyp4a14/Cyp51/Flvcr1/Flvcr2/Hccs/Hebp2/Ido2/Mpo/Nos3/Nox3/Nr1d1/Pgrmc1/Slc48a1/Steap1/Steap3",31
"GO:0004620","GO:0004620","phospholipase activity","19/4410","96/28396",0.197916666666667,1.27438586545729,1.15469012301751,0.15521239725015,0.291798845166592,0.193775056916725,"Ddhd1/Gdpd5/Gpld1/Lipg/Liph/Lpl/Pitpnm3/Pla2g4a/Plbd1/Plcb3/Plcb4/Plcd3/Plce1/Pld1/Pld6/Pnpla6/Pnpla8/Prdx6b/Smpd3",19
"GO:0004114","GO:0004114","3',5'-cyclic-nucleotide phosphodiesterase activity","6/4410","24/28396",0.25,1.60975056689342,1.28136888683061,0.157352572165376,0.291798845166592,0.193775056916725,"Pde3b/Pde4a/Pde5a/Pde6c/Pde6g/Pde8b",6
"GO:0005242","GO:0005242","inward rectifier potassium channel activity","6/4410","24/28396",0.25,1.60975056689342,1.28136888683061,0.157352572165376,0.291798845166592,0.193775056916725,"Kcnj10/Kcnj13/Kcnj8/Kcnj9/Kcnn2/Kcnn4",6
